,ags2,ags5,kreis,number_of_hospitals,number_of_hospital_beds,number_of_hospital_beds_adj,hospital_patiants
0,01,01001,"Flensburg, Stadt",3,860,9.6,18796
1,01,01002,"Kiel, Landeshauptstadt",16,2498,10.1,53016
2,01,01003,"Lübeck, Hansestadt",13,1975,9.1,53406
3,01,01004,"Neumünster, Stadt",5,693,8.7,19792
4,01,01051,Dithmarschen,3,656,4.9,32195
5,01,01053,Herzogtum Lauenburg,5,604,3.1,48662
6,01,01054,Nordfriesland,7,653,3.9,38396
7,01,01055,Ostholstein,18,1687,8.4,51374
8,01,01056,Pinneberg,3,875,2.8,68928
9,01,01057,Plön,6,280,2.2,30658
10,01,01058,Rendsburg-Eckernförde,7,946,3.5,60316
11,01,01059,Schleswig-Flensburg,4,707,3.5,46073
12,01,01060,Segeberg,11,1671,6.1,65209
13,01,01061,Steinburg,1,609,4.6,32641
14,01,01062,Stormarn,9,1098,4.5,55631
15,02,02000,Hamburg,58,12536,6.8,380371
16,03,03101,Braunschweig,6,1943,7.8,55723
17,03,03102,Salzgitter,2,444,4.2,28322
18,03,03103,Wolfsburg,1,549,4.4,28355
19,03,03151,Gifhorn,2,424,2.4,41350
20,03,03153,Goslar,6,1040,7.6,38573
21,03,03154,Helmstedt,2,845,9.3,25993
22,03,03155,Northeim,3,466,3.5,37891
23,03,03157,Peine,1,297,2.2,30737
24,03,03158,Wolfenbüttel,1,296,2.5,28099
25,03,03159,Göttingen,12,3396,10.4,84678
26,03,03241,Hannover,22,7075,6.1,263389
27,03,03251,Diepholz,3,504,2.3,50549
28,03,03252,Hameln-Pyrmont,8,1130,7.6,39576
29,03,03254,Hildesheim,6,1756,6.3,62302
30,03,03255,Holzminden,2,207,2.9,19963
31,03,03256,Nienburg/Weser,2,357,2.9,29873
32,03,03257,Schaumburg,3,543,3.4,36959
33,03,03351,Celle,2,702,3.9,37616
34,03,03352,Cuxhaven,4,651,3.3,47271
35,03,03353,Harburg,4,741,2.9,56480
36,03,03354,Lüchow-Dannenberg,1,118,2.4,13622
37,03,03355,Lüneburg,4,895,4.9,36509
38,03,03356,Osterholz,2,234,2.1,24243
39,03,03357,Rotenburg (Wümme),4,1020,6.2,37491
40,03,03358,Heidekreis,4,482,3.4,32738
41,03,03359,Stade,4,919,4.5,45544
42,03,03360,Uelzen,6,809,8.7,23962
43,03,03361,Verden,2,262,1.9,31089
44,03,03401,Delmenhorst,1,320,4.1,18058
45,03,03402,Emden,1,421,8.4,11806
46,03,03403,Oldenburg,3,1713,10.2,32201
47,03,03404,Osnabrück,6,2117,12.8,37227
48,03,03405,Wilhelmshaven,2,598,7.8,22589
49,03,03451,Ammerland,4,857,6.9,24293
50,03,03452,Aurich,3,701,3.7,46357
51,03,03453,Cloppenburg,3,477,2.8,38878
52,03,03454,Emsland,7,1775,5.5,79041
53,03,03455,Friesland,2,513,5.2,25561
54,03,03456,Grafschaft Bentheim,4,599,4.4,32991
55,03,03457,Leer,4,705,4.2,40593
56,03,03458,Oldenburg,3,231,1.8,27268
57,03,03459,Osnabrück,11,1627,4.6,87605
58,03,03460,Vechta,4,868,6.1,33321
59,03,03461,Wesermarsch,2,218,2.5,22769
60,03,03462,Wittmund,1,164,2.9,14673
61,04,04011,Bremen,10,4006,7.0,116865
62,04,04012,Bremerhaven,4,1010,8.9,30208
63,05,05111,Düsseldorf,13,5017,8.1,142514
64,05,05112,Duisburg,8,4634,9.3,142734
65,05,05113,Essen,12,5681,9.7,154974
66,05,05114,Krefeld,4,2078,9.2,58481
67,05,05116,Mönchengladbach,5,2131,8.2,68905
68,05,05117,Mülheim an der Ruhr,2,932,5.5,43057
69,05,05119,Oberhausen,3,1456,6.9,59530
70,05,05120,Remscheid,3,1020,9.2,33617
71,05,05122,Solingen,4,1046,6.6,41244
72,05,05124,Wuppertal,3,2070,5.8,89917
73,05,05154,Kleve,7,1689,5.4,88000
74,05,05158,Mettmann,11,2240,4.6,128608
75,05,05162,Rhein-Kreis Neuss,7,1983,4.4,107591
76,05,05166,Viersen,7,1413,4.7,80240
77,05,05170,Wesel,7,2540,5.5,132824
78,05,05314,Bonn,9,4149,12.7,69890
79,05,05315,Köln,22,7083,6.5,232707
80,05,05316,Leverkusen,2,1086,6.6,40781
81,05,05334,Aachen,9,3842,6.9,130504
82,05,05358,Düren,6,1783,6.8,71447
83,05,05362,Rhein-Erft-Kreis,8,1433,3.0,109850
84,05,05366,Euskirchen,3,1101,5.7,51796
85,05,05370,Heinsberg,4,952,3.7,63373
86,05,05374,Oberbergischer Kreis,4,1559,5.7,66044
87,05,05378,Rheinisch-Bergischer Kreis,5,1151,4.1,66668
88,05,05382,Rhein-Sieg-Kreis,7,1455,2.4,133122
89,05,05512,Bottrop,2,704,6.0,34947
90,05,05513,Gelsenkirchen,5,1775,6.8,87358
91,05,05515,Münster,9,3730,11.9,63283
92,05,05554,Borken,7,1876,5.1,92250
93,05,05558,Coesfeld,3,856,3.9,57615
94,05,05562,Recklinghausen,12,4886,7.9,195475
95,05,05566,Steinfurt,8,2033,4.5,111763
96,05,05570,Warendorf,6,1345,4.8,73093
97,05,05711,Bielefeld,7,3974,11.9,82755
98,05,05754,Gütersloh,3,1421,3.9,86307
99,05,05758,Herford,3,1092,4.4,60601
100,05,05762,Höxter,2,1057,7.5,39846
101,05,05766,Lippe,4,1403,4.0,81813
102,05,05770,Minden-Lübbecke,8,2373,7.6,75289
103,05,05774,Paderborn,5,1747,5.7,80410
104,05,05911,Bochum,7,3403,9.3,108224
105,05,05913,Dortmund,11,3921,6.7,156709
106,05,05914,Hagen,4,1589,8.4,55411
107,05,05915,Hamm,5,1789,10.0,52758
108,05,05916,Herne,5,1656,10.6,56186
109,05,05954,Ennepe-Ruhr-Kreis,7,1906,5.9,97899
110,05,05958,Hochsauerlandkreis,10,2087,8.0,79291
111,05,05962,Märkischer Kreis,11,2848,6.9,123946
112,05,05966,Olpe,2,844,6.3,36238
113,05,05970,Siegen-Wittgenstein,5,1988,7.1,65620
114,05,05974,Soest,9,2027,6.7,91004
115,05,05978,Unna,9,2652,6.7,121450
116,06,06411,Kreisfreie Stadt Darmstadt,6,1548,9.7,31072
117,06,06412,Kreisfreie Stadt Frankfurt am Main,16,5906,7.8,148289
118,06,06413,Kreisfreie Stadt Offenbach am Main,5,1188,9.2,29779
119,06,06414,Landeshauptstadt Wiesbaden,9,1980,7.1,60211
120,06,06431,Bergstraße,7,940,3.5,57937
121,06,06432,Darmstadt-Dieburg,1,428,1.4,64140
122,06,06433,Groß-Gerau,3,1039,3.8,57897
123,06,06434,Hochtaunus,9,1224,5.2,47874
124,06,06435,Main-Kinzig,4,1785,4.3,100632
125,06,06436,Main-Taunus,5,686,2.9,47435
126,06,06437,Odenwaldkreis,4,477,4.9,23674
127,06,06438,Offenbach,3,686,1.9,77781
128,06,06439,Rheingau-Taunus,5,654,3.5,40603
129,06,06440,Wetterau,7,1369,4.5,69847
130,06,06531,Gießen,6,2390,8.9,60498
131,06,06532,Lahn-Dill,10,1775,7.0,70751
132,06,06533,Limburg-Weilburg,4,1039,6.0,41004
133,06,06534,Marburg-Biedenkopf,5,1542,6.3,51873
134,06,06535,Vogelsberg,5,699,6.6,30282
135,06,06611,Kreisfreie Stadt Kassel,9,2694,13.4,51166
136,06,06631,Fulda,7,1542,6.9,56426
137,06,06632,Hersfeld-Rotenburg,4,1039,8.6,38157
138,06,06633,Kassel,5,853,3.6,65163
139,06,06634,Schwalm-Eder,6,645,3.6,50657
140,06,06635,Waldeck-Frankenberg,12,1716,10.9,48879
141,06,06636,Werra-Meißner,2,588,5.8,31914
142,07,07111,Stadt Koblenz,2,1947,17.1,26854
143,07,07131,Ahrweiler,7,757,5.8,36409
144,07,07132,Altenkirchen (Ww),2,385,3.0,34958
145,07,07133,Bad Kreuznach,5,963,6.1,43755
146,07,07134,Birkenfeld,2,671,8.3,25481
147,07,07135,Cochem-Zell,3,425,6.9,17818
148,07,07137,Mayen-Koblenz,4,751,3.5,54480
149,07,07138,Neuwied,6,1599,8.8,48799
150,07,07140,Rhein-Hunsrück-Kreis,2,446,4.3,28004
151,07,07141,Rhein-Lahn-Kreis,6,1011,8.3,32304
152,07,07143,Westerwaldkreis,3,541,2.7,54171
153,07,07211,Stadt Trier,2,1573,14.2,25317
154,07,07231,Bernkastel-Wittlich,1,496,4.4,31684
155,07,07232,Eifelkreis Bitburg-Prüm,2,600,6.1,28187
156,07,07233,Vulkaneifel,1,232,3.8,18191
157,07,07235,Trier-Saarburg,2,340,2.3,38384
158,07,07311,Stadt Frankenthal (Pfalz),1,315,6.5,12467
159,07,07312,Stadt Kaiserslautern,2,1164,11.7,21932
160,07,07313,Stadt Landau in der Pfalz,2,844,18.1,11336
161,07,07314,Stadt Ludwigshafen a. Rh.,4,2047,12.0,40937
162,07,07315,Stadt Mainz,4,2219,10.2,39337
163,07,07316,Stadt Neustadt a.d. W.,1,364,6.8,12899
164,07,07317,Stadt Pirmasens,1,451,11.2,12479
165,07,07318,Stadt Speyer,2,651,12.9,12368
166,07,07319,Stadt Worms,2,696,8.4,21050
167,07,07320,Stadt Zweibrücken,-99,-99,-99.0,10555
168,07,07331,Alzey-Worms,2,594,4.6,31041
169,07,07332,Bad Dürkheim,4,504,3.8,32833
170,07,07333,Donnersbergkreis,1,203,2.7,20500
171,07,07334,Germersheim,1,320,2.5,31275
172,07,07335,Kaiserslautern,1,531,5.0,24617
173,07,07336,Kusel,-99,-99,-99.0,19997
174,07,07337,Südliche Weinstraße,3,704,6.4,27137
175,07,07338,Rhein-Pfalz-Kreis,-99,-99,-99.0,34550
176,07,07339,Mainz-Bingen,4,338,1.6,44057
177,07,07340,Südwestpfalz,2,215,2.3,26509
178,08,08111,Stuttgart,22,4961,7.8,119640
179,08,08115,Böblingen,5,1099,2.8,74700
180,08,08116,Esslingen,8,1899,3.6,102905
181,08,08117,Göppingen,3,1246,4.8,52889
182,08,08118,Ludwigsburg,7,1749,3.2,105204
183,08,08119,Rems-Murr-Kreis,4,1326,3.1,89206
184,08,08121,Heilbronn,5,1020,8.1,25319
185,08,08125,Heilbronn,4,1214,3.5,66587
186,08,08126,Hohenlohekreis,1,283,2.5,24675
187,08,08127,Schwäbisch Hall,3,741,3.8,42755
188,08,08128,Main-Tauber-Kreis,5,1033,7.8,31300
189,08,08135,Heidenheim,1,535,4.0,27527
190,08,08136,Ostalbkreis,4,1056,3.4,61069
191,08,08211,Baden-Baden,4,796,14.4,11899
192,08,08212,Karlsruhe,7,2685,8.6,54992
193,08,08215,Karlsruhe,3,914,2.1,87844
194,08,08216,Rastatt,3,434,1.9,46803
195,08,08221,Heidelberg,13,3018,18.8,22692
196,08,08222,Mannheim,5,2373,7.7,62133
197,08,08225,Neckar-Odenwald-Kreis,4,503,3.5,34075
198,08,08226,Rhein-Neckar-Kreis,5,1503,2.7,106203
199,08,08231,Pforzheim,8,1201,9.6,29782
200,08,08235,Calw,8,1243,7.8,34697
201,08,08236,Enzkreis,4,324,1.6,43373
202,08,08237,Freudenstadt,2,479,4.1,24564
203,08,08311,Freiburg im Breisgau,8,2233,9.7,42863
204,08,08315,Breisgau-Hochschwarzwald,14,1339,5.1,52217
205,08,08316,Emmendingen,4,1015,6.1,34665
206,08,08317,Ortenaukreis,13,2249,5.2,89067
207,08,08325,Rottweil,4,830,6.0,31640
208,08,08326,Schwarzwald-Baar-Kreis,6,1279,6.0,41948
209,08,08327,Tuttlingen,2,360,2.6,28318
210,08,08335,Konstanz,10,1655,5.8,55366
211,08,08336,Lörrach,3,837,3.7,46933
212,08,08337,Waldshut,8,713,4.2,35924
213,08,08415,Reutlingen,5,1251,4.4,54507
214,08,08416,Tübingen,6,1936,8.5,38706
215,08,08417,Zollernalbkreis,5,547,2.9,39498
216,08,08421,Ulm,5,1518,12.0,23169
217,08,08425,Alb-Donau-Kreis,4,418,2.1,37983
218,08,08426,Biberach,6,798,4.0,41593
219,08,08435,Bodenseekreis,5,742,3.4,42924
220,08,08436,Ravensburg,11,1727,6.1,55411
221,08,08437,Sigmaringen,4,660,5.0,27060
222,09,09161,Ingolstadt,4,1284,9.4,28045
223,09,09162,München,54,11200,7.6,301896
224,09,09163,Rosenheim,2,762,12.0,13656
225,09,09171,Altötting,3,584,5.3,26846
226,09,09172,Berchtesgadener Land,7,669,6.3,24242
227,09,09173,Bad Tölz-Wolfratshausen,4,639,5.0,30443
228,09,09174,Dachau,1,455,3.0,32602
229,09,09175,Ebersberg,1,328,2.3,29569
230,09,09176,Eichstätt,2,455,3.4,26601
231,09,09177,Erding,3,420,3.1,28330
232,09,09178,Freising,1,353,2.0,36619
233,09,09179,Fürstenfeldbruck,1,380,1.7,50040
234,09,09180,Garmisch-Partenkirchen,8,1391,15.7,22593
235,09,09181,Landsberg am Lech,3,472,3.9,26071
236,09,09182,Miesbach,2,458,4.6,22081
237,09,09183,Mühldorf a.Inn,1,351,3.0,28144
238,09,09184,München,4,1351,3.9,70880
239,09,09185,Neuburg-Schrobenhausen,2,448,4.6,21903
240,09,09186,Pfaffenhofen a.d.Ilm,1,323,2.5,27129
241,09,09187,Rosenheim,17,2655,10.2,56299
242,09,09188,Starnberg,9,1197,8.8,30041
243,09,09189,Traunstein,4,928,5.2,44086
244,09,09190,Weilheim-Schongau,3,430,3.2,32878
245,09,09261,Landshut,4,1274,17.6,16685
246,09,09262,Passau,3,726,13.8,12887
247,09,09263,Straubing,1,450,9.4,12266
248,09,09271,Deggendorf,6,1309,11.0,27158
249,09,09272,Freyung-Grafenau,1,405,5.2,22480
250,09,09273,Kelheim,3,394,3.2,28377
251,09,09274,Landshut,1,185,1.2,36224
252,09,09275,Passau,6,666,3.5,48882
253,09,09276,Regen,2,314,4.0,19902
254,09,09277,Rottal-Inn,2,635,5.3,30201
255,09,09278,Straubing-Bogen,3,385,3.8,23666
256,09,09279,Dingolfing-Landau,1,125,1.3,23299
257,09,09361,Amberg,1,568,13.5,10733
258,09,09362,Regensburg,5,2791,18.3,30978
259,09,09363,Weiden i.d.OPf.,1,704,16.6,11255
260,09,09371,Amberg-Sulzbach,2,195,1.9,26445
261,09,09372,Cham,4,692,5.4,33715
262,09,09373,Neumarkt i.d.OPf.,2,529,4.0,30673
263,09,09374,Neustadt a.d.Waldnaab,1,186,2.0,23617
264,09,09375,Regensburg,2,240,1.2,39535
265,09,09376,Schwandorf,5,534,3.6,38784
266,09,09377,Tirschenreuth,2,290,4.0,20264
267,09,09461,Bamberg,1,1013,13.1,18590
268,09,09462,Bayreuth,2,1365,18.3,18086
269,09,09463,Coburg,1,510,12.4,10781
270,09,09464,Hof,1,455,9.9,13867
271,09,09471,Bamberg,3,310,2.1,34988
272,09,09472,Bayreuth,1,117,1.1,26147
273,09,09473,Coburg,2,93,1.1,23009
274,09,09474,Forchheim,2,310,2.7,26311
275,09,09475,Hof,3,614,6.4,27059
276,09,09476,Kronach,1,282,4.2,19086
277,09,09477,Kulmbach,2,574,8.0,22249
278,09,09478,Lichtenfels,3,765,11.4,18616
279,09,09479,Wunsiedel i.Fichtelgebirge,1,408,5.6,22938
280,09,09561,Ansbach,3,1223,29.2,10987
281,09,09562,Erlangen,3,2188,19.5,21381
282,09,09563,Fürth,3,850,6.7,31063
283,09,09564,Nürnberg,17,3542,6.8,121981
284,09,09565,Schwabach,1,170,4.2,10380
285,09,09571,Ansbach,1,150,0.8,44554
286,09,09572,Erlangen-Höchstadt,2,131,1.0,28297
287,09,09573,Fürth,-99,-99,-99.0,28024
288,09,09574,Nürnberger Land,4,972,5.7,41962
289,09,09575,Neustadt a.d.Aisch-Bad Windsheim,3,478,4.8,25758
290,09,09576,Roth,1,270,2.1,29535
291,09,09577,Weißenburg-Gunzenhausen,3,420,4.4,24836
292,09,09661,Aschaffenburg,3,940,13.3,14093
293,09,09662,Schweinfurt,2,932,17.2,16555
294,09,09663,Würzburg,9,2369,18.5,27630
295,09,09671,Aschaffenburg,1,42,0.2,34770
296,09,09672,Bad Kissingen,7,813,7.9,31153
297,09,09673,Rhön-Grabfeld,5,1105,13.9,22383
298,09,09674,Haßberge,1,240,2.8,22973
299,09,09675,Kitzingen,2,245,2.7,22937
300,09,09676,Miltenberg,1,284,2.2,29043
301,09,09677,Main-Spessart,2,664,5.3,29890
302,09,09678,Schweinfurt,6,587,5.1,30112
303,09,09679,Würzburg,1,140,0.9,34448
304,09,09761,Augsburg,10,2918,9.9,64382
305,09,09762,Kaufbeuren,2,609,13.9,12027
306,09,09763,Kempten (Allgäu),2,600,8.7,13968
307,09,09764,Memmingen,2,544,12.4,10246
308,09,09771,Aichach-Friedberg,2,280,2.1,28161
309,09,09772,Augsburg,3,298,1.2,55169
310,09,09773,Dillingen a.d.Donau,2,317,3.3,21862
311,09,09774,Günzburg,6,1042,8.3,28855
312,09,09775,Neu-Ulm,4,410,2.4,36604
313,09,09776,Lindau (Bodensee),8,611,7.5,18465
314,09,09777,Ostallgäu,5,527,3.8,33134
315,09,09778,Unterallgäu,4,419,2.9,33155
316,09,09779,Donau-Ries,2,529,4.0,31431
317,09,09780,Oberallgäu,3,460,3.0,31069
318,10,10041,Regionalverband Saarbrücken,8,2583,7.8,92096
319,10,10042,Landkreis Merzig-Wadern,3,481,4.7,27800
320,10,10043,Landkreis Neunkirchen,4,700,5.3,38990
321,10,10044,Landkreis Saarlouis,5,985,5.0,53855
322,10,10045,Saarpfalz-Kreis,2,1498,10.5,37302
323,10,10046,Landkreis St. Wendel,1,248,2.8,24073
324,11,11000,Berlin,83,20390,5.6,793176
325,12,12051,Brandenburg an der Havel,3,901,12.5,21116
326,12,12052,Cottbus,2,1187,11.8,24625
327,12,12053,Frankfurt (Oder),2,946,16.3,16012
328,12,12054,Potsdam,7,1579,8.9,38194
329,12,12060,Barnim,5,1175,6.4,47083
330,12,12061,Dahme-Spreewald,4,1009,6.0,44949
331,12,12062,Elbe-Elster,1,465,4.5,30657
332,12,12063,Havelland,1,482,3.0,41651
333,12,12064,Märkisch-Oderland,2,666,3.4,51495
334,12,12065,Oberhavel,4,1123,5.3,51191
335,12,12066,Oberspreewald-Lausitz,1,513,4.6,32930
336,12,12067,Oder-Spree,7,1375,7.7,57336
337,12,12068,Ostprignitz-Ruppin,2,1144,11.5,29792
338,12,12069,Potsdam-Mittelmark,5,702,3.3,49820
339,12,12070,Prignitz,1,362,4.7,27396
340,12,12071,Spree-Neiße,3,499,4.4,33689
341,12,12072,Teltow-Fläming,2,503,3.0,42013
342,12,12073,Uckermark,5,731,6.1,40290
343,13,13003,"Rostock, Hansestadt",6,1514,7.2,41938
344,13,13004,"Schwerin, Landeshauptstadt",2,1420,14.8,27265
345,13,13071,Mecklenburgische Seenplatte,5,1646,6.4,72485
346,13,13072,Landkreis Rostock,5,785,3.6,54761
347,13,13073,Vorpommern-Rügen,5,1135,5.1,59549
348,13,13074,Nordwestmecklenburg,2,593,3.8,40664
349,13,13075,Vorpommern-Greifswald,8,2233,9.4,67473
350,13,13076,Ludwigslust-Parchim,6,960,4.5,60603
351,14,14511,Chemnitz,3,2353,9.5,60846
352,14,14521,Erzgebirgskreis,6,2061,6.1,95236
353,14,14522,Mittelsachsen,7,1327,4.3,77378
354,14,14523,Vogtlandkreis,7,1718,7.5,66882
355,14,14524,Zwickau,6,2008,6.3,91390
356,14,14612,Dresden,6,3862,7.0,97902
357,14,14625,Bautzen,7,1702,5.7,74326
358,14,14626,Görlitz,6,1819,7.1,73794
359,14,14627,Meißen,6,1203,5.0,59498
360,14,14628,Sächsische Schweiz-Osterzgebirge,6,1277,5.2,51414
361,14,14713,Leipzig,6,3975,6.8,116051
362,14,14729,Leipzig,4,1137,4.4,66743
363,14,14730,Nordsachsen,7,1428,7.2,53420
364,15,15001,Dessau-Roßlau,3,953,11.7,24472
365,15,15002,Halle (Saale),6,2959,12.4,60298
366,15,15003,Magdeburg,6,2362,9.9,55269
367,15,15081,Altmarkkreis Salzwedel,1,419,5.0,26717
368,15,15082,Anhalt-Bitterfeld,3,794,5.0,50985
369,15,15083,Börde,3,592,3.4,47046
370,15,15084,Burgenlandkreis,2,1122,6.2,54771
371,15,15085,Harz,5,1511,7.0,62505
372,15,15086,Jerichower Land,4,748,8.3,26851
373,15,15087,Mansfeld-Südharz,1,774,5.7,41060
374,15,15088,Saalekreis,1,634,3.4,47108
375,15,15089,Salzlandkreis,6,1312,6.9,62357
376,15,15090,Stendal,4,1001,8.9,32610
377,15,15091,Wittenberg,3,575,4.6,37341
378,16,16051,Erfurt,2,1690,7.9,51478
379,16,16052,Gera,1,972,10.3,27105
380,16,16053,Jena,1,1403,12.6,21160
381,16,16054,Suhl,1,511,14.7,11688
382,16,16055,Weimar,1,593,9.1,17169
383,16,16056,Eisenach,1,397,9.4,12816
384,16,16061,Eichsfeld,1,424,4.2,28616
385,16,16062,Nordhausen,3,984,11.7,23377
386,16,16063,Wartburgkreis,3,532,4.3,37097
387,16,16064,Unstrut-Hainich-Kreis,4,1284,12.5,29958
388,16,16065,Kyffhäuserkreis,1,462,6.2,23418
389,16,16066,Schmalkalden-Meiningen,3,715,5.8,38525
390,16,16067,Gotha,2,508,3.8,37451
391,16,16068,Sömmerda,-99,-99,-99.0,18802
392,16,16069,Hildburghausen,2,505,7.9,20895
393,16,16070,Ilm-Kreis,2,567,5.2,31384
394,16,16071,Weimarer Land,3,1053,12.8,21898
395,16,16072,Sonneberg,1,381,6.8,17780
396,16,16073,Saalfeld-Rudolstadt,3,994,9.3,30316
397,16,16074,Saale-Holzland-Kreis,3,654,7.9,20517
398,16,16075,Saale-Orla-Kreis,1,120,1.5,22511
399,16,16076,Greiz,2,403,4.1,29220
400,16,16077,Altenburger Land,2,618,6.9,27465
