ags5,kreis,total area,Residential area percentage,industrial / commertial area percentage,dump area percentage,mining area percentage,"open pit, mine, quarry area percentage",mixed use area percentage,special functional character land percentage,"sport, leisure, recreation area percentage",cemetry area percentage,road area percentage,space area percentage,rail traffic area percentage,air traffic area percentage,shipping area percentage,agri area percentage,forrest area percentage,wood area percentage,health area percentage,moor area percentage,swamp area percentage,without vegetation area percentage,flowing water percentage,harbor basin percentage,standing water percentage,sea percentage
5711,Bielefeld,258.8,21.28,6.22,0.0,0.0,0.04,4.91,2.3,3.98,0.85,0.73,0.25,0.34,0.19,0.0,34.8,20.51,2.98,0.0,0.01,0.0,0.17,0.0,0.0,0.43,0.0
5754,Gütersloh,969.2,7.99,3.48,0.0,0.0,0.09,5.47,0.6,1.15,0.16,0.21,0.08,0.07,0.35,0.0,64.21,13.77,1.34,0.09,0.0,0.0,0.28,0.03,0.0,0.64,0.0
5758,Herford,450.4,15.52,4.27,0.0,0.0,0.08,5.59,0.85,1.29,0.38,0.33,0.08,0.27,0.0,0.0,59.26,8.99,2.37,0.0,0.01,0.0,0.13,0.26,0.02,0.3,0.0
5762,Höxter,1201.4,3.01,1.35,0.0,0.0,0.11,2.19,0.42,0.64,0.08,0.04,0.03,0.07,0.05,0.0,60.37,29.58,1.51,0.0,0.01,0.04,0.07,0.2,0.0,0.24,0.0
5766,Lippe,1246.2,7.36,2.01,0.02,0.0,0.19,3.32,0.73,1.01,0.2,0.06,0.08,0.04,0.09,0.0,51.07,30.36,1.67,1.16,0.0,0.02,0.12,0.06,0.0,0.42,0.0
5770,Minden-Lübbecke,1152.4,7.99,2.27,0.0,0.01,0.19,5.21,0.58,0.69,0.19,0.14,0.07,0.12,0.07,0.09,66.26,11.74,1.92,0.0,0.44,0.0,0.2,0.72,0.02,1.08,0.0
5774,Paderborn,1246.8,4.91,2.07,0.0,0.0,0.14,2.71,0.8,0.94,0.11,0.18,0.09,0.07,0.22,0.0,54.99,29.18,1.73,0.8,0.04,0.01,0.17,0.02,0.0,0.8,0.0
5911,Bochum,145.7,32.12,11.54,0.0,0.0,0.0,4.61,3.48,8.84,1.93,1.92,0.53,1.06,0.0,0.0,17.51,8.35,5.82,0.0,0.0,0.0,1.39,0.22,0.0,0.69,0.0
5913,Dortmund,280.7,26.72,8.71,0.06,0.0,0.02,4.6,3.17,6.91,1.47,1.53,0.61,1.16,0.71,0.34,23.48,11.53,5.57,0.0,0.0,0.0,2.71,0.12,0.12,0.43,0.0
5914,Hagen,160.5,15.04,7.03,0.0,0.0,0.86,3.29,1.53,3.03,0.63,0.67,0.3,1.28,0.06,0.0,17.33,43.32,3.5,0.0,0.0,0.0,0.35,0.59,0.0,1.17,0.0
5915,Hamm,226.4,13.6,5.51,0.18,0.21,0.0,3.78,1.5,2.92,0.42,0.3,0.25,0.91,0.13,0.25,54.93,9.0,3.09,0.03,0.02,0.02,1.74,0.73,0.05,0.43,0.0
5916,Herne,51.4,34.69,12.06,0.1,0.04,0.0,5.6,3.83,11.83,1.67,1.63,0.56,2.65,0.0,0.18,9.59,3.48,8.31,0.0,0.0,0.02,1.98,1.38,0.21,0.21,0.0
5954,Ennepe-Ruhr-Kreis,409.6,14.63,4.67,0.0,0.0,0.02,3.94,0.99,2.04,0.44,0.33,0.13,0.23,0.0,0.0,37.35,30.81,2.97,0.0,0.0,0.01,0.06,0.53,0.0,0.83,0.0
5958,Hochsauerlandkreis,1960.2,3.71,1.44,0.02,0.0,0.34,1.32,0.28,0.74,0.08,0.06,0.05,0.04,0.05,0.0,34.01,55.84,1.43,0.08,0.0,0.0,0.05,0.09,0.0,0.35,0.0
5962,Märkischer Kreis,1061.1,7.76,2.93,0.01,0.0,0.29,2.52,0.61,0.84,0.22,0.13,0.1,0.07,0.07,0.0,30.59,50.87,1.98,0.05,0.01,0.02,0.1,0.25,0.0,0.56,0.0
5966,Olpe,712.1,5.09,1.87,0.0,0.0,0.13,1.7,0.33,0.72,0.08,0.15,0.1,0.06,0.04,0.0,26.4,59.64,2.26,0.02,0.01,0.0,0.05,0.09,0.0,1.25,0.0
5970,Siegen-Wittgenstein,1132.9,6.7,2.1,0.01,0.0,0.05,1.27,0.43,0.49,0.17,0.11,0.05,0.11,0.12,0.0,20.29,65.96,1.84,0.0,0.0,0.0,0.04,0.05,0.0,0.19,0.0
5974,Soest,1328.6,5.36,2.23,0.0,0.0,0.61,3.04,0.55,0.85,0.13,0.17,0.1,0.07,0.01,0.0,63.73,20.48,1.36,0.0,0.0,0.01,0.12,0.15,0.0,1.02,0.0
5978,Unna,543.2,13.8,5.28,0.13,0.02,0.02,3.42,1.42,2.06,0.37,0.49,0.15,0.35,0.14,0.03,54.38,12.76,3.32,0.0,0.01,0.01,1.06,0.5,0.03,0.26,0.0
6411,Kreisfreie Stadt Darmstadt,122.1,12.45,5.51,0.11,0.0,0.0,2.9,3.1,4.41,0.58,1.22,0.32,1.07,0.06,0.0,16.86,47.67,1.48,0.0,0.0,0.0,1.95,0.0,0.0,0.31,0.0
6412,Kreisfreie Stadt Frankfurt am Main,248.3,18.98,9.22,0.0,0.0,0.0,4.46,2.51,11.74,1.07,2.42,0.42,1.25,5.9,0.37,20.62,15.5,3.29,0.0,0.0,0.0,0.49,1.4,0.12,0.24,0.0
6413,Kreisfreie Stadt Offenbach am Main,44.9,20.9,8.3,0.0,0.0,0.0,3.12,2.39,9.66,0.83,1.67,0.67,1.0,0.0,0.02,11.44,34.81,2.5,0.02,0.0,0.0,0.65,1.45,0.13,0.42,0.0
6414,Landeshauptstadt Wiesbaden,203.9,13.77,5.56,0.14,0.0,0.06,2.59,3.08,6.19,0.49,0.89,0.3,0.51,0.79,0.0,30.59,29.08,2.92,0.0,0.0,0.01,0.81,1.96,0.16,0.08,0.0
6431,Bergstraße,719.5,6.89,2.15,0.0,0.0,0.09,1.96,0.46,1.5,0.15,0.64,0.09,0.18,0.09,0.0,39.93,41.25,1.95,0.0,0.04,0.09,1.18,0.86,0.0,0.5,0.0
6432,Darmstadt-Dieburg,658.6,7.42,2.3,0.0,0.0,0.38,2.33,0.8,1.36,0.15,0.61,0.1,0.28,0.08,0.0,44.85,35.87,1.49,0.0,0.14,0.1,1.39,0.0,0.0,0.36,0.0
6433,Groß-Gerau,453.0,8.5,4.35,0.04,0.0,0.04,1.56,0.7,2.61,0.19,1.12,0.17,0.43,0.97,0.08,45.64,24.88,2.69,0.0,0.0,0.13,2.22,2.49,0.07,1.14,0.0
6434,Hochtaunus,481.8,7.91,1.46,0.0,0.0,0.07,2.31,1.43,2.31,0.21,0.25,0.11,0.08,0.07,0.0,29.78,51.94,1.82,0.0,0.0,0.0,0.17,0.0,0.0,0.08,0.0
6435,Main-Kinzig,1397.3,5.28,1.79,0.0,0.0,0.1,1.88,0.49,1.35,0.14,0.4,0.1,0.14,0.02,0.05,40.46,44.95,1.94,0.0,0.01,0.0,0.38,0.2,0.01,0.33,0.0
6436,Main-Taunus,222.5,14.48,4.42,0.0,0.0,0.18,2.83,1.13,3.84,0.39,0.99,0.19,0.25,0.0,0.12,40.85,25.5,3.7,0.0,0.0,0.0,0.46,0.48,0.02,0.19,0.0
6437,Odenwaldkreis,624.0,3.33,0.79,0.0,0.0,0.02,2.17,0.19,0.62,0.1,0.13,0.04,0.04,0.04,0.0,33.16,58.27,0.81,0.0,0.0,0.0,0.21,0.0,0.0,0.07,0.0
6438,Offenbach,356.2,12.35,5.71,0.0,0.0,0.16,3.07,1.17,3.34,0.34,1.1,0.14,0.35,0.19,0.01,22.28,45.41,1.92,0.0,0.0,0.0,1.03,0.34,0.0,1.11,0.0
6439,Rheingau-Taunus,811.4,4.26,0.76,0.01,0.0,0.01,1.41,0.52,1.09,0.11,0.24,0.07,0.08,0.04,0.0,30.0,58.21,1.53,0.0,0.01,0.0,0.28,1.31,0.01,0.06,0.0
6440,Wetterau,1100.7,4.6,1.5,0.0,0.0,0.23,2.43,0.61,1.33,0.13,0.42,0.06,0.19,0.06,0.0,55.75,30.01,1.45,0.0,0.0,0.01,0.96,0.02,0.0,0.24,0.0
6531,Gießen,854.6,5.97,2.06,0.01,0.0,0.13,1.81,0.6,1.66,0.14,0.48,0.11,0.13,0.04,0.0,47.99,35.97,1.89,0.02,0.0,0.01,0.45,0.08,0.0,0.45,0.0
6532,Lahn-Dill,1066.3,5.6,1.91,0.01,0.0,0.37,1.83,0.34,1.17,0.15,0.33,0.1,0.1,0.11,0.0,32.44,51.8,2.84,0.03,0.0,0.0,0.41,0.17,0.0,0.29,0.0
6533,Limburg-Weilburg,738.4,5.25,1.52,0.01,0.0,0.33,2.41,0.5,0.98,0.15,0.33,0.06,0.2,0.02,0.0,48.68,36.24,2.53,0.0,0.0,0.0,0.35,0.28,0.0,0.16,0.0
6534,Marburg-Biedenkopf,1262.4,4.17,1.12,0.0,0.0,0.17,2.0,0.59,0.77,0.14,0.19,0.06,0.07,0.03,0.0,45.96,42.55,1.42,0.0,0.0,0.04,0.39,0.15,0.0,0.18,0.0
6535,Vogelsberg,1458.9,1.6,0.73,0.0,0.0,0.09,2.01,0.14,0.57,0.07,0.15,0.04,0.04,0.02,0.0,51.95,40.16,1.73,0.02,0.0,0.0,0.39,0.06,0.0,0.22,0.0
6611,Kreisfreie Stadt Kassel,106.8,25.88,8.76,0.0,0.0,0.14,4.13,3.02,9.88,1.0,0.77,0.48,1.55,0.0,0.02,12.37,23.76,3.67,0.0,0.0,0.0,2.83,1.12,0.02,0.61,0.0
6631,Fulda,1380.4,3.61,1.29,0.07,0.04,0.16,2.25,0.3,0.75,0.11,0.35,0.09,0.12,0.04,0.0,51.14,37.02,1.74,0.0,0.06,0.0,0.74,0.04,0.0,0.08,0.0
6632,Hersfeld-Rotenburg,1097.7,3.08,0.96,0.19,0.06,0.12,1.57,0.21,0.43,0.11,0.27,0.05,0.15,0.02,0.0,42.29,47.73,1.84,0.0,0.0,0.0,0.47,0.23,0.0,0.2,0.0
6633,Kassel,1293.4,4.94,1.31,0.0,0.0,0.11,1.61,0.32,1.01,0.12,0.16,0.07,0.06,0.21,0.0,46.45,40.31,1.99,0.01,0.0,0.0,0.92,0.3,0.0,0.1,0.0
6634,Schwalm-Eder,1539.0,3.17,0.93,0.0,0.0,0.3,1.94,0.34,0.53,0.11,0.2,0.05,0.07,0.12,0.0,52.38,36.96,1.88,0.02,0.01,0.02,0.33,0.22,0.0,0.44,0.0
6635,Waldeck-Frankenberg,1848.7,2.35,0.84,0.0,0.0,0.07,1.44,0.22,0.64,0.08,0.09,0.05,0.03,0.04,0.0,44.66,46.57,1.28,0.06,0.0,0.0,0.55,0.12,0.0,0.89,0.0
6636,Werra-Meißner,1024.8,2.59,0.83,0.0,0.0,0.12,1.78,0.25,0.53,0.09,0.22,0.05,0.08,0.04,0.0,44.59,45.65,2.29,0.01,0.0,0.0,0.3,0.24,0.0,0.36,0.0
7111,Stadt Koblenz,105.3,9.29,5.35,0.0,0.0,0.13,7.43,3.99,2.94,0.64,0.68,0.48,0.68,0.07,0.23,25.15,32.82,3.64,0.0,0.0,0.0,1.38,4.9,0.14,0.07,0.0
7131,Ahrweiler,787.0,3.15,0.83,0.01,0.0,0.21,2.97,0.26,0.93,0.07,0.11,0.13,0.05,0.06,0.01,32.81,53.97,2.55,0.1,0.0,0.01,0.64,0.58,0.03,0.52,0.0
7132,Altenkirchen (Ww),642.4,5.32,1.48,0.01,0.0,0.01,3.72,0.31,0.5,0.14,0.02,0.04,0.08,0.01,0.0,32.82,53.13,0.96,0.0,0.0,0.0,1.09,0.27,0.0,0.09,0.0
7133,Bad Kreuznach,863.9,2.97,1.31,0.01,0.0,0.17,3.26,0.29,1.0,0.12,0.07,0.07,0.05,0.04,0.0,45.82,39.46,3.84,0.0,0.0,0.0,1.15,0.28,0.0,0.06,0.0
7134,Birkenfeld,776.8,2.69,0.68,0.01,0.0,0.22,2.26,0.83,0.58,0.11,0.03,0.03,0.04,0.05,0.0,34.58,55.31,1.98,0.01,0.04,0.01,0.36,0.1,0.0,0.1,0.0
7135,Cochem-Zell,692.5,1.7,0.74,0.0,0.0,0.07,2.46,0.47,0.63,0.04,0.05,0.04,0.04,0.57,0.02,37.9,50.24,2.64,0.0,0.0,0.0,1.02,1.29,0.01,0.07,0.0
7137,Mayen-Koblenz,817.7,3.9,2.65,0.01,0.01,0.96,3.75,0.37,0.76,0.1,0.2,0.12,0.08,0.18,0.05,49.48,32.28,2.52,0.16,0.0,0.0,1.03,1.25,0.02,0.12,0.0
7138,Neuwied,627.0,5.69,2.39,0.0,0.0,0.24,4.25,0.37,0.9,0.15,0.15,0.07,0.1,0.04,0.02,35.12,46.5,1.54,0.0,0.0,0.0,0.92,1.22,0.01,0.32,0.0
7140,Rhein-Hunsrück-Kreis,991.1,2.08,1.01,0.0,0.0,0.07,2.58,0.25,0.57,0.08,0.13,0.07,0.02,0.31,0.0,43.98,46.56,1.2,0.0,0.0,0.0,0.58,0.44,0.01,0.05,0.0
7141,Rhein-Lahn-Kreis,782.2,2.66,0.76,0.05,0.0,0.23,2.81,0.32,0.77,0.1,0.01,0.02,0.11,0.03,0.01,41.0,47.56,1.69,0.0,0.0,0.0,0.61,1.2,0.02,0.05,0.0
7143,Westerwaldkreis,989.1,4.37,2.0,0.01,0.0,1.02,3.99,0.29,0.85,0.14,0.1,0.06,0.06,0.05,0.0,41.06,42.81,1.35,0.0,0.0,0.0,1.24,0.02,0.0,0.58,0.0
7211,Stadt Trier,117.1,8.56,5.31,0.0,0.0,0.03,6.83,2.43,2.91,0.36,0.29,0.3,0.82,0.0,0.09,21.73,40.68,5.47,0.0,0.0,0.08,1.01,2.71,0.09,0.33,0.0
7231,Bernkastel-Wittlich,1167.9,1.9,1.19,0.01,0.0,0.3,2.55,0.27,0.43,0.05,0.09,0.05,0.03,0.07,0.01,37.5,50.7,3.17,0.0,0.0,0.01,0.78,0.76,0.01,0.14,0.0
7232,Eifelkreis Bitburg-Prüm,1626.9,1.79,0.72,0.01,0.0,0.12,2.38,0.28,0.42,0.04,0.05,0.03,0.01,0.3,0.0,54.77,36.64,1.75,0.03,0.0,0.01,0.5,0.1,0.0,0.06,0.0
7233,Vulkaneifel,911.7,1.87,0.58,0.01,0.0,0.54,2.36,0.23,0.69,0.05,0.05,0.02,0.05,0.01,0.0,43.76,46.28,2.42,0.11,0.03,0.0,0.72,0.05,0.0,0.18,0.0
7235,Trier-Saarburg,1102.2,2.88,0.93,0.01,0.0,0.15,2.69,0.24,0.66,0.05,0.08,0.03,0.06,0.07,0.01,39.53,46.52,4.48,0.0,0.01,0.03,0.68,0.75,0.0,0.15,0.0
7311,Stadt Frankenthal (Pfalz),43.9,10.78,8.0,0.0,0.0,0.0,6.36,1.16,3.62,0.55,1.0,0.32,0.21,0.0,0.02,59.95,1.0,3.67,0.0,0.0,0.0,1.78,1.23,0.0,0.41,0.0
7312,Stadt Kaiserslautern,139.7,9.07,4.99,0.0,0.0,0.0,3.56,3.54,1.75,0.42,0.44,0.4,0.59,0.0,0.0,9.19,63.29,1.19,0.0,0.0,0.0,1.23,0.0,0.0,0.32,0.0
7313,Stadt Landau in der Pfalz,82.9,5.65,3.6,0.0,0.0,0.0,5.52,0.78,1.68,0.19,0.23,0.12,0.12,0.33,0.0,45.61,31.31,3.2,0.0,0.0,0.0,1.68,0.0,0.0,0.04,0.0
7314,Stadt Ludwigshafen a. Rh.,77.4,15.36,17.02,0.09,0.0,0.0,8.3,2.49,7.2,0.75,1.14,0.93,1.01,0.0,1.3,30.48,3.31,4.33,0.0,0.0,0.1,1.56,2.17,0.5,1.94,0.0
7315,Stadt Mainz,97.7,14.83,7.45,0.0,0.0,0.42,9.43,3.58,4.81,0.83,1.01,0.74,0.49,0.59,0.12,41.39,3.23,4.09,0.0,0.0,0.0,3.85,2.65,0.28,0.19,0.0
7316,Stadt Neustadt a.d. W.,117.1,5.14,2.67,0.0,0.0,0.02,4.91,0.64,2.03,0.18,0.15,0.09,0.16,0.62,0.0,36.11,43.26,2.58,0.0,0.0,0.04,1.26,0.0,0.0,0.15,0.0
7317,Stadt Pirmasens,61.4,8.45,4.47,0.0,0.0,0.0,8.22,1.39,2.35,0.7,0.33,0.24,0.38,0.0,0.0,28.22,41.69,1.88,0.0,0.0,0.0,1.52,0.0,0.0,0.15,0.0
7318,Stadt Speyer,42.7,11.26,11.28,0.0,0.0,0.19,5.74,3.46,4.68,0.44,0.61,0.49,0.16,1.22,0.35,18.96,23.5,4.17,0.0,0.0,0.12,2.5,5.99,0.44,4.45,0.0
7319,Stadt Worms,108.7,6.95,5.34,0.0,0.0,0.25,6.95,0.58,3.03,0.39,0.42,0.37,0.25,0.26,0.19,62.73,3.01,2.88,0.0,0.0,0.0,3.18,2.92,0.08,0.23,0.0
7320,Stadt Zweibrücken,70.6,9.28,5.62,0.0,0.0,0.0,4.48,1.57,2.21,0.2,0.23,0.33,0.08,0.4,0.0,48.27,23.6,1.39,0.0,0.0,0.0,2.25,0.0,0.0,0.07,0.0
7331,Alzey-Worms,588.1,2.95,1.1,0.0,0.0,0.11,4.11,0.23,0.87,0.13,0.17,0.05,0.07,0.0,0.0,79.95,4.51,2.48,0.0,0.0,0.41,1.96,0.35,0.0,0.56,0.0
7332,Bad Dürkheim,594.6,3.45,1.05,0.0,0.0,0.05,3.2,0.19,1.34,0.11,0.1,0.09,0.04,0.05,0.0,34.79,51.94,2.14,0.0,0.0,0.0,1.27,0.0,0.0,0.21,0.0
7333,Donnersbergkreis,645.4,1.83,0.7,0.0,0.0,0.54,2.9,0.3,0.66,0.1,0.08,0.03,0.03,0.0,0.0,56.48,33.29,2.21,0.0,0.0,0.0,0.76,0.0,0.0,0.08,0.0
7334,Germersheim,463.3,3.66,2.65,0.01,0.0,0.14,3.59,0.77,0.85,0.11,0.2,0.07,0.07,0.0,0.16,39.68,40.45,2.08,0.0,0.0,0.11,1.36,1.89,0.45,1.7,0.0
7335,Kaiserslautern,640.0,3.71,1.18,0.03,0.0,0.04,2.99,0.97,0.9,0.11,0.15,0.05,0.05,1.14,0.0,35.01,51.37,1.26,0.02,0.01,0.03,0.82,0.0,0.0,0.15,0.0
7336,Kusel,573.6,2.5,0.57,0.02,0.0,0.54,3.44,0.2,0.47,0.12,0.06,0.03,0.03,0.04,0.0,52.77,36.38,2.36,0.0,0.0,0.03,0.32,0.04,0.0,0.1,0.0
7337,Südliche Weinstraße,640.0,2.25,0.9,0.02,0.0,0.08,3.58,0.25,0.85,0.1,0.04,0.03,0.01,0.02,0.0,43.22,45.62,1.98,0.0,0.0,0.01,0.93,0.0,0.0,0.11,0.0
7338,Rhein-Pfalz-Kreis,305.0,7.01,2.4,0.0,0.0,0.2,5.12,0.32,2.13,0.21,0.34,0.11,0.07,0.04,0.0,55.45,17.11,2.81,0.0,0.0,0.33,1.89,2.21,0.0,2.24,0.0
7339,Mainz-Bingen,605.4,4.2,1.75,0.01,0.01,0.11,4.36,0.52,1.75,0.15,0.16,0.11,0.14,0.11,0.01,61.89,14.8,3.77,0.0,0.0,0.05,3.59,2.32,0.02,0.15,0.0
7340,Südwestpfalz,953.6,2.29,0.6,0.01,0.0,0.0,2.3,0.14,0.59,0.08,0.05,0.02,0.02,0.18,0.0,26.75,65.01,1.2,0.0,0.0,0.0,0.64,0.0,0.0,0.13,0.0
8111,Stuttgart,207.4,24.09,6.68,0.0,0.0,0.0,3.91,4.13,5.72,1.07,1.65,0.5,1.11,0.31,0.42,23.21,23.88,2.24,0.04,0.0,0.0,0.02,0.65,0.05,0.29,0.0
8115,Böblingen,617.8,7.44,3.66,0.0,0.0,0.19,2.95,1.02,1.86,0.28,0.84,0.16,0.1,0.03,0.0,43.66,35.28,2.31,0.11,0.0,0.02,0.02,0.0,0.0,0.08,0.0
8116,Esslingen,641.3,9.17,4.12,0.0,0.0,0.05,3.99,1.04,1.52,0.27,0.66,0.14,0.14,0.68,0.04,44.58,30.38,2.11,0.49,0.04,0.01,0.03,0.38,0.0,0.15,0.0
8117,Göppingen,642.3,5.3,2.4,0.0,0.0,0.08,3.66,0.63,0.85,0.15,0.26,0.09,0.08,0.06,0.0,49.67,34.1,1.79,0.71,0.0,0.01,0.07,0.05,0.0,0.05,0.0
8118,Ludwigsburg,686.8,8.39,4.46,0.0,0.0,0.2,3.84,0.92,1.73,0.25,0.48,0.13,0.4,0.02,0.01,56.93,18.77,2.5,0.04,0.0,0.02,0.04,0.77,0.0,0.1,0.0
8119,Rems-Murr-Kreis,858.1,5.7,2.65,0.0,0.0,0.07,3.56,0.68,1.01,0.17,0.36,0.08,0.1,0.04,0.0,42.67,41.19,1.47,0.0,0.0,0.01,0.02,0.09,0.0,0.1,0.0
8121,Heilbronn,99.9,11.18,7.61,0.0,0.21,0.21,5.14,1.8,2.35,0.46,0.51,0.28,0.53,0.09,0.75,49.44,14.72,2.72,0.23,0.0,0.0,0.12,1.46,0.1,0.09,0.0
8125,Heilbronn,1099.9,4.5,2.42,0.0,0.01,0.12,3.33,0.5,1.05,0.17,0.34,0.12,0.07,0.03,0.0,57.66,26.55,2.43,0.0,0.0,0.04,0.08,0.4,0.0,0.16,0.0
8126,Hohenlohekreis,776.8,2.24,1.49,0.0,0.0,0.13,3.19,0.27,0.53,0.06,0.16,0.07,0.01,0.03,0.0,59.55,29.59,2.2,0.03,0.0,0.01,0.03,0.3,0.0,0.11,0.0
8127,Schwäbisch Hall,1484.1,2.02,1.39,0.0,0.0,0.15,3.45,0.24,0.5,0.07,0.18,0.06,0.05,0.07,0.0,56.5,33.45,1.45,0.04,0.0,0.03,0.02,0.17,0.0,0.16,0.0
8128,Main-Tauber-Kreis,1304.1,1.66,1.25,0.0,0.0,0.04,2.22,0.3,0.46,0.06,0.16,0.06,0.03,0.08,0.0,59.29,30.42,2.98,0.59,0.01,0.0,0.02,0.27,0.0,0.07,0.0
8135,Heidenheim,627.1,3.6,1.77,0.0,0.0,0.38,2.65,0.36,1.55,0.09,0.2,0.07,0.04,0.08,0.0,42.74,43.22,1.07,1.98,0.0,0.01,0.01,0.1,0.0,0.06,0.0
8136,Ostalbkreis,1511.4,3.4,1.63,0.0,0.0,0.09,3.26,0.42,0.61,0.08,0.2,0.06,0.04,0.1,0.0,48.03,40.12,1.29,0.34,0.0,0.02,0.03,0.02,0.0,0.27,0.0
8211,Baden-Baden,140.2,5.61,2.2,0.0,0.0,0.14,2.64,0.79,1.56,0.17,0.41,0.17,0.17,0.19,0.0,21.21,61.9,1.47,0.42,0.16,0.04,0.04,0.0,0.0,0.71,0.0
8212,Karlsruhe,173.4,15.57,9.92,0.0,0.0,0.01,2.99,3.43,7.05,0.5,2.03,0.47,0.84,0.0,1.08,22.41,26.46,3.47,0.46,0.0,0.17,0.04,1.27,0.59,1.27,0.0
8215,Karlsruhe,1085.3,5.91,3.11,0.0,0.0,0.13,3.03,0.81,1.37,0.15,0.48,0.11,0.13,0.04,0.0,44.93,34.56,2.69,0.01,0.01,0.37,0.02,0.46,0.0,1.68,0.0
8216,Rastatt,738.4,4.37,2.77,0.0,0.0,0.12,2.76,0.49,1.02,0.12,0.31,0.13,0.09,0.38,0.01,30.79,51.79,1.77,0.03,0.06,0.13,0.04,1.37,0.01,1.41,0.0
8221,Heidelberg,108.9,12.08,5.4,0.0,0.0,0.0,2.91,3.44,2.64,0.44,1.39,0.3,0.46,0.15,0.0,25.05,41.28,2.5,0.0,0.0,0.0,0.17,1.74,0.0,0.01,0.0
8222,Mannheim,145.0,18.13,11.65,0.0,0.0,0.0,1.5,4.46,6.43,0.59,2.76,0.57,1.88,1.11,5.13,23.79,13.16,3.75,0.0,0.0,0.02,0.06,3.94,0.67,0.39,0.0
8225,Neckar-Odenwald-Kreis,1126.0,2.54,1.14,0.0,0.0,0.12,2.49,0.43,0.67,0.08,0.12,0.03,0.03,0.05,0.0,46.84,43.27,1.78,0.09,0.0,0.0,0.03,0.25,0.0,0.04,0.0
