ags2,ags5,kreis,number_of_hairdressers,number_of_restaurants,number_of_shops,number_of_companies,number_of_shopping_malls,number_of_clubs,number_of_education_places,number_of_shopping_places,number_of_free_time_places,number_of_tourism_places,number_of_tourism_places,number_of_food_and_drink_places,number_of_public_institution_places,number_of_traffic_places,number_of_health_places,number_of_business_places
08,08222,Mannheim,367,556,737,20094,5,1044,296,2161,138,60,60,528,101,212,1312,2817
08,08225,Neckar-Odenwald-Kreis,154,196,400,8618,1,329,138,1150,35,114,114,188,84,178,463,1526
08,08226,Rhein-Neckar-Kreis,719,706,1331,33607,3,1039,386,4396,169,244,244,764,200,457,2082,5969
08,08231,Pforzheim,144,157,381,7722,3,275,125,1055,50,25,25,195,43,121,514,1094
08,08235,Calw,208,196,411,9926,1,311,193,1296,57,225,225,305,93,184,634,1735
08,08236,Enzkreis,232,164,434,12612,0,359,180,1601,40,67,67,242,100,211,623,2187
08,08237,Freudenstadt,143,196,412,8153,1,256,164,1043,41,270,270,318,56,151,446,1318
08,08311,Freiburg im Breisgau,224,331,553,16622,4,1052,297,1795,125,87,87,362,72,184,1563,2299
08,08315,Breisgau-Hochschwarzwald,292,427,676,18581,0,679,291,2244,89,689,689,688,108,283,1180,3175
08,08316,Emmendingen,192,228,432,10903,0,434,196,1400,41,239,239,327,55,170,656,1836
08,08317,Ortenaukreis,488,673,1201,28521,2,1004,473,3726,121,622,622,945,123,476,1694,4567
08,08325,Rottweil,182,196,410,9967,0,340,167,1310,50,86,86,259,52,179,534,1695
08,08326,Schwarzwald-Baar-Kreis,237,307,686,14040,2,385,200,1750,88,228,228,357,74,242,818,2257
08,08327,Tuttlingen,165,163,370,9264,0,291,139,1145,42,67,67,217,51,177,425,1454
08,08335,Konstanz,330,479,836,19544,4,790,304,2348,119,256,256,577,93,303,1269,2948
08,08336,Lörrach,301,407,648,13849,4,560,265,1799,78,287,287,474,142,255,879,2168
08,08337,Waldshut,227,299,551,10766,1,336,200,1579,54,298,298,416,56,213,689,1759
08,08415,Reutlingen,336,361,742,19149,2,492,308,2373,114,111,111,453,101,311,1025,3202
08,08416,Tübingen,197,270,501,13797,0,527,276,1484,82,83,83,314,95,202,1080,2202
08,08417,Zollernalbkreis,309,272,622,13603,1,439,232,1904,79,67,67,358,79,232,749,2136
08,08421,Ulm,126,214,352,8601,2,399,128,951,66,54,54,211,41,108,613,1164
08,08425,Alb-Donau-Kreis,193,223,493,11297,0,352,254,1497,40,109,109,309,82,197,546,2070
08,08426,Biberach,182,237,537,11274,0,337,260,1513,49,114,114,309,85,181,597,2034
08,08435,Bodenseekreis,249,380,537,14649,2,496,181,1922,81,491,491,493,80,242,909,2383
08,08436,Ravensburg,293,357,813,18775,1,566,374,2599,101,235,235,441,104,284,1178,3329
08,08437,Sigmaringen,136,195,404,8418,2,273,152,1205,42,95,95,254,57,179,448,1583
09,09161,Ingolstadt,133,200,463,7410,4,270,96,988,71,48,48,230,66,107,482,1195
09,09162,München,1396,2235,3400,123827,16,5267,1772,11041,596,494,494,1972,434,857,7656,16735
09,09163,Rosenheim,91,108,264,5519,1,182,51,698,25,23,23,122,34,58,360,867
09,09171,Altötting,125,123,348,6375,1,225,91,994,42,77,77,181,43,123,403,1088
09,09172,Berchtesgadener Land,116,205,345,8046,1,457,91,1128,52,752,752,298,60,133,521,1212
09,09173,Bad Tölz-Wolfratshausen,149,191,397,10507,0,354,101,1313,54,224,224,247,60,169,633,1981
09,09174,Dachau,137,168,406,9710,11,322,130,1196,28,49,49,206,119,181,490,1757
09,09175,Ebersberg,118,167,376,10053,1,373,115,1164,40,55,55,168,41,156,574,1781
09,09176,Eichstätt,113,148,349,6873,0,245,116,911,28,131,131,227,147,148,349,1207
09,09177,Erding,113,158,419,8612,2,253,118,1063,35,62,62,187,84,174,409,1696
09,09178,Freising,150,182,517,11221,3,403,153,1429,44,79,79,221,74,225,583,2156
09,09179,Fürstenfeldbruck,190,207,555,14085,6,414,181,1786,47,43,43,220,67,221,871,2715
09,09180,Garmisch-Partenkirchen,106,271,358,8156,1,257,80,1225,49,700,700,356,45,128,537,1405
09,09181,Landsberg am Lech,132,147,387,9319,1,369,105,1105,32,46,46,159,35,144,550,1827
09,09182,Miesbach,126,223,349,9665,0,316,83,1195,60,425,425,300,48,160,499,1644
09,09183,Mühldorf a.Inn,109,144,371,7242,0,226,84,1093,27,38,38,164,48,163,384,1414
09,09184,München,257,428,919,41640,5,1037,373,3029,137,151,151,412,124,349,1451,5069
09,09185,Neuburg-Schrobenhausen,97,112,323,5862,5,222,68,885,35,33,33,139,30,140,285,1067
09,09186,Pfaffenhofen a.d.Ilm,139,142,359,7819,0,220,91,1076,32,56,56,159,35,167,351,1415
09,09187,Rosenheim,264,408,700,20214,0,628,212,2618,87,413,413,501,125,342,1178,3740
09,09188,Starnberg,144,206,326,14729,0,413,135,1364,45,88,88,215,61,134,966,2230
09,09189,Traunstein,198,305,559,13274,1,461,134,1852,59,717,717,404,83,246,721,2253
09,09190,Weilheim-Schongau,155,180,453,10113,0,386,129,1312,53,89,89,236,56,162,662,1856
09,09261,Landshut,99,114,266,4770,2,178,49,645,27,24,24,130,22,64,358,688
09,09262,Passau,66,132,260,4568,2,168,53,580,27,36,36,132,40,63,325,598
09,09263,Straubing,85,90,248,3627,2,115,39,544,20,22,22,99,13,76,248,488
09,09271,Deggendorf,128,160,444,8019,1,310,93,1298,21,86,86,223,32,161,389,1485
09,09272,Freyung-Grafenau,68,121,286,5291,0,194,73,798,27,253,253,217,36,123,254,937
09,09273,Kelheim,120,164,382,7474,2,233,96,1091,33,178,178,229,108,147,354,1344
09,09274,Landshut,147,153,415,9257,0,258,111,1300,23,50,50,209,54,204,375,1748
09,09275,Passau,216,254,590,12470,0,373,160,1922,64,564,564,408,68,263,768,2146
09,09276,Regen,102,135,272,5684,3,195,67,854,34,505,505,273,28,122,258,883
09,09277,Rottal-Inn,121,132,425,8137,0,234,91,1133,23,93,93,193,37,165,409,1431
09,09278,Straubing-Bogen,85,126,252,5949,0,196,77,790,13,115,115,208,27,156,245,1014
09,09279,Dingolfing-Landau,102,98,262,5404,0,193,55,826,23,50,50,158,27,127,289,836
09,09361,Amberg,59,66,210,2995,0,110,37,524,19,18,18,81,22,57,237,448
09,09362,Regensburg,167,280,584,11307,5,535,159,1270,81,65,65,296,59,167,770,1483
09,09363,Weiden i.d.OPf.,58,77,236,3592,1,97,35,532,23,14,14,105,16,50,230,510
09,09371,Amberg-Sulzbach,80,137,225,5796,0,261,85,861,22,83,83,204,70,130,317,1198
09,09372,Cham,148,216,437,8853,1,260,104,1386,47,347,347,383,80,184,404,1552
09,09373,Neumarkt i.d.OPf.,135,170,423,8430,1,280,104,1211,41,85,85,247,182,192,416,1505
09,09374,Neustadt a.d.Waldnaab,96,138,243,5778,1,154,86,893,24,105,105,233,58,118,289,1086
09,09375,Regensburg,177,227,445,10936,1,387,133,1486,29,74,74,289,74,210,611,1941
09,09376,Schwandorf,164,231,459,8982,4,318,107,1397,35,117,117,303,74,182,452,1505
09,09377,Tirschenreuth,82,114,241,4786,0,138,65,780,14,125,125,200,49,86,248,843
09,09461,Bamberg,102,171,288,5933,0,241,91,808,43,76,76,211,40,90,482,777
09,09462,Bayreuth,99,137,322,5284,1,239,80,640,52,28,28,173,39,79,403,758
09,09463,Coburg,69,81,183,3097,0,119,45,483,21,22,22,113,16,58,246,487
09,09464,Hof,61,83,219,3363,0,133,46,497,22,24,24,113,20,65,212,487
09,09471,Bamberg,176,187,378,8162,2,247,109,1141,33,84,84,297,53,177,403,1510
09,09472,Bayreuth,101,162,284,6502,0,341,91,903,39,254,254,288,25,115,306,1158
09,09473,Coburg,101,110,224,5104,0,192,73,697,23,63,63,163,43,119,247,823
09,09474,Forchheim,124,143,345,7156,0,216,111,966,35,136,136,270,35,155,412,1258
09,09475,Hof,112,149,296,6571,0,240,89,906,23,98,98,243,38,114,320,1074
09,09476,Kronach,100,111,238,4701,0,188,69,712,9,46,46,189,22,92,234,695
09,09477,Kulmbach,89,99,268,5045,1,197,77,695,20,65,65,182,22,100,280,872
09,09478,Lichtenfels,77,121,231,4385,1,151,58,683,25,96,96,175,18,85,235,730
09,09479,Wunsiedel i.Fichtelgebirge,101,123,295,5289,2,248,77,811,27,77,77,208,30,83,287,796
09,09561,Ansbach,57,83,208,2794,3,128,49,448,26,20,20,95,23,48,247,460
09,09562,Erlangen,110,187,366,6952,5,341,123,837,62,57,57,208,43,96,612,1090
09,09563,Fürth,126,161,348,7261,2,247,96,963,54,21,21,177,34,119,457,1306
09,09564,Nürnberg,543,811,1390,33128,10,1585,456,3992,209,169,169,877,150,430,2090,5385
09,09565,Schwabach,44,57,118,2740,1,68,29,384,13,10,10,62,13,37,198,458
09,09571,Ansbach,175,239,494,11167,1,496,188,1643,63,268,268,393,92,215,549,2069
09,09572,Erlangen-Höchstadt,124,130,380,7894,0,277,119,1098,42,54,54,200,41,142,516,1430
09,09573,Fürth,140,127,263,6746,1,230,86,948,27,42,42,153,30,137,365,1324
09,09574,Nürnberger Land,146,199,457,11674,1,403,153,1599,42,91,91,332,78,216,636,2093
09,09575,Neustadt a.d.Aisch-Bad Windsheim,82,140,290,6420,0,263,101,903,29,96,96,211,23,155,348,1083
09,09576,Roth,128,147,336,8342,1,290,101,1218,40,97,97,256,77,170,391,1502
09,09577,Weißenburg-Gunzenhausen,70,127,312,6246,0,277,92,932,32,138,138,220,104,111,322,1041
09,09661,Aschaffenburg,124,171,289,6034,1,237,73,827,40,21,21,182,40,88,343,848
09,09662,Schweinfurt,81,130,310,3676,1,131,51,598,25,19,19,167,17,66,228,517
09,09663,Würzburg,142,234,475,9956,0,462,128,1182,68,54,54,278,59,119,816,1398
09,09671,Aschaffenburg,266,265,430,12092,5,430,123,1688,35,113,113,324,50,202,511,2134
09,09672,Bad Kissingen,121,137,330,6603,0,295,112,956,32,138,138,229,83,109,467,1163
09,09673,Rhön-Grabfeld,88,127,285,5334,0,212,100,737,19,98,98,177,39,116,295,868
09,09674,Haßberge,95,112,245,5228,0,172,88,728,23,66,66,191,29,103,276,905
09,09675,Kitzingen,93,155,288,6190,0,203,97,850,29,136,136,255,81,115,313,1088
09,09676,Miltenberg,153,230,362,8770,0,264,90,1310,37,96,96,298,49,128,425,1527
09,09677,Main-Spessart,158,170,421,8347,0,381,136,1213,29,121,121,267,48,140,409,1475
09,09678,Schweinfurt,106,125,287,6067,0,258,110,842,29,26,26,170,65,113,285,1204
09,09679,Würzburg,134,135,365,9655,0,355,135,1154,39,94,94,213,83,140,559,1795
09,09761,Augsburg,290,407,802,16810,6,751,220,1919,111,49,49,387,86,218,1124,2453
09,09762,Kaufbeuren,61,70,191,3108,0,111,36,453,25,13,13,83,19,57,211,483
09,09763,Kempten (Allgäu),73,106,309,4913,2,165,64,614,37,23,23,127,23,79,336,742
09,09764,Memmingen,53,60,202,3379,1,124,39,491,26,12,12,90,19,61,226,467
09,09771,Aichach-Friedberg,132,119,373,8849,0,261,108,1112,32,35,35,184,41,146,402,1694
09,09772,Augsburg,256,220,662,15127,1,592,188,1828,64,52,52,307,60,257,769,2821
09,09773,Dillingen a.d.Donau,97,99,263,5769,0,212,80,861,25,38,38,126,45,98,291,973
09,09774,Günzburg,125,164,393,8180,0,299,118,1071,37,54,54,233,65,181,395,1345
09,09775,Neu-Ulm,182,227,470,9712,2,347,144,1310,50,48,48,243,56,190,532,1675
09,09776,Lindau (Bodensee),90,145,238,6430,1,251,77,757,49,275,275,186,40,96,399,967
09,09777,Ostallgäu,139,262,408,10268,0,363,124,1228,54,520,520,350,77,182,534,1666
09,09778,Unterallgäu,145,190,382,9730,1,344,123,1165,45,151,151,255,118,170,517,1614
09,09779,Donau-Ries,132,170,462,8378,0,606,124,1093,38,89,89,234,104,170,419,1398
09,09780,Oberallgäu,165,282,441,12103,0,434,121,1537,92,1306,1306,501,78,160,639,1898
10,10041,Regionalverband Saarbrücken,385,622,819,20132,2,903,228,2548,99,68,68,546,164,341,1410,3258
10,10042,Landkreis Merzig-Wadern,132,177,289,5730,0,200,77,781,24,67,67,216,94,103,372,941
10,10043,Landkreis Neunkirchen,205,211,361,7190,1,263,80,1009,25,20,20,210,60,142,479,1189
10,10044,Landkreis Saarlouis,309,363,564,11376,3,337,130,1675,43,69,69,431,89,211,722,1888
10,10045,Saarpfalz-Kreis,205,251,424,8514,1,288,105,1181,32,47,47,213,75,187,584,1456
10,10046,Landkreis St. Wendel,123,153,214,4721,0,170,49,652,17,36,36,143,54,98,325,788
11,11000,Berlin,2434,4706,7425,230503,123,10644,3577,22100,1739,1026,1026,3762,783,2241,13837,30852
12,12051,Brandenburg an der Havel,83,80,254,3584,2,156,59,527,51,27,27,81,21,77,232,580
12,12052,Cottbus,149,112,403,6021,6,236,106,799,49,31,31,132,25,106,369,970
12,12053,Frankfurt (Oder),65,48,222,3727,6,419,58,414,59,17,17,39,16,61,213,561
12,12054,Potsdam,160,202,431,10477,16,559,192,1068,96,83,83,226,48,118,577,1649
12,12060,Barnim,161,183,466,10055,4,736,142,1244,132,83,83,185,48,221,509,1837
12,12061,Dahme-Spreewald,173,202,521,10620,2,320,154,1214,177,165,165,216,57,200,445,1888
12,12062,Elbe-Elster,134,156,357,6788,2,251,115,1091,23,53,53,147,38,150,354,1240
12,12063,Havelland,154,133,421,8372,3,322,143,1018,135,73,73,155,60,150,375,1491
12,12064,Märkisch-Oderland,196,147,481,11284,2,783,167,1382,152,92,92,180,66,228,577,2142
12,12065,Oberhavel,207,209,507,10895,6,354,156,1375,145,75,75,233,55,215,579,2120
12,12066,Oberspreewald-Lausitz,119,149,388,6045,1,240,120,972,32,100,100,174,32,153,332,1083
12,12067,Oder-Spree,233,180,511,10738,6,835,170,1266,128,110,110,246,63,204,537,1868
12,12068,Ostprignitz-Ruppin,132,149,304,6429,2,226,97,827,91,118,118,153,84,130,306,1128
12,12069,Potsdam-Mittelmark,197,224,456,13122,1,441,228,1497,163,117,117,267,106,247,596,2195
12,12070,Prignitz,89,126,268,5012,1,145,95,709,73,65,65,132,23,87,265,890
12,12071,Spree-Neiße,140,164,318,6882,0,256,123,1015,29,100,100,191,34,169,347,1333
12,12072,Teltow-Fläming,160,166,470,11026,1,316,136,1217,126,103,103,203,55,203,403,1662
12,12073,Uckermark,121,135,329,7449,3,762,137,899,95,115,115,149,40,160,361,1188
13,13003,"Rostock, Hansestadt",188,200,584,10338,5,708,195,1221,136,103,103,234,45,162,757,1487
13,13004,"Schwerin, Landeshauptstadt",119,115,399,6035,6,359,109,720,51,46,46,125,27,113,361,962
13,13071,Mecklenburgische Seenplatte,305,337,880,16063,5,752,360,2044,313,269,269,402,256,308,949,2671
13,13072,Landkreis Rostock,236,259,691,12922,2,502,283,1662,219,290,290,265,143,279,649,2322
13,13073,Vorpommern-Rügen,261,417,757,14211,6,607,289,1928,272,635,635,533,128,277,799,2417
13,13074,Nordwestmecklenburg,155,220,415,8727,2,375,206,1044,102,176,176,195,89,170,460,1444
13,13075,Vorpommern-Greifswald,258,344,781,13621,6,598,318,1755,332,413,413,389,150,287,801,2214
13,13076,Ludwigslust-Parchim,224,243,616,12919,3,588,301,1635,233,183,183,300,155,274,665,2383
14,14511,Chemnitz,328,226,817,15218,8,1052,318,1857,97,52,52,323,64,280,953,2357
14,14521,Erzgebirgskreis,488,435,1009,22278,4,891,392,3459,100,296,296,666,212,399,1239,3842
14,14522,Mittelsachsen,427,311,931,19022,4,750,364,2742,74,184,184,535,148,369,1080,3356
14,14523,Vogtlandkreis,361,303,826,15856,6,603,265,2380,70,183,183,404,103,325,934,2732
14,14524,Zwickau,450,331,1085,19645,9,770,334,3017,99,117,117,454,102,349,1222,3603
14,14612,Dresden,502,520,1460,31463,25,1643,582,3346,237,222,222,792,172,417,1934,4518
14,14625,Bautzen,350,343,949,17737,11,717,373,2435,83,135,135,508,163,393,1010,3169
14,14626,Görlitz,293,326,798,15496,4,698,325,2099,102,181,181,488,124,275,943,2777
14,14627,Meißen,286,265,715,14666,5,482,279,1948,71,150,150,407,82,274,804,2525
14,14628,Sächsische Schweiz-Osterzgebirge,295,302,659,15017,3,592,297,1961,78,229,229,458,125,321,786,2597
14,14713,Leipzig,466,555,1515,33817,23,2616,416,3547,227,147,147,516,111,447,2290,5088
14,14729,Leipzig,283,261,677,14931,2,656,308,2146,49,83,83,302,107,265,890,2805
14,14730,Nordsachsen,236,200,617,11519,2,487,268,1720,45,95,95,257,93,238,668,2154
15,15001,Dessau-Roßlau,104,85,337,4461,4,200,74,630,30,30,30,83,33,76,307,776
15,15002,Halle (Saale),216,208,677,10947,7,686,224,1367,96,41,41,259,60,177,916,1794
15,15003,Magdeburg,272,250,797,12853,6,696,184,1464,141,46,46,234,56,179,872,1979
15,15081,Altmarkkreis Salzwedel,104,106,269,4998,0,248,119,768,60,55,55,114,34,108,262,893
15,15082,Anhalt-Bitterfeld,171,188,536,8563,1,401,170,1210,46,59,59,164,62,181,531,1520
15,15083,Börde,198,149,496,9271,1,434,250,1128,147,71,71,148,93,241,490,1633
15,15084,Burgenlandkreis,218,228,564,9747,1,433,254,1351,40,144,144,230,51,211,638,1622
15,15085,Harz,299,362,793,13232,4,593,258,1847,169,352,352,386,70,252,782,2274
15,15086,Jerichower Land,96,97,280,5517,0,197,112,719,94,36,36,89,55,117,267,872
15,15087,Mansfeld-Südharz,172,160,446,7558,1,330,155,1081,35,66,66,143,47,157,445,1370
15,15088,Saalekreis,195,177,522,9250,3,383,164,1127,19,71,71,184,103,207,483,1596
15,15089,Salzlandkreis,255,219,601,9924,3,445,227,1599,95,68,68,202,69,226,671,1736
15,15090,Stendal,154,115,368,6846,3,392,151,999,100,44,44,118,50,141,334,1160
15,15091,Wittenberg,155,149,427,7237,2,301,168,1133,26,90,90,165,67,152,384,1234
16,16051,Erfurt,230,246,678,12198,8,754,166,1588,96,70,70,289,77,197,828,2031
16,16052,Gera,138,108,342,5531,6,353,68,796,26,23,23,153,27,111,416,968
16,16053,Jena,109,139,319,6088,9,373,95,609,46,37,37,144,27,86,447,842
16,16054,Suhl,50,34,151,2434,2,117,25,318,16,23,23,47,12,43,175,399
16,16055,Weimar,70,91,241,4236,2,219,62,512,24,63,63,114,19,73,275,743
16,16056,Eisenach,64,75,200,2631,2,95,34,400,17,48,48,93,16,60,204,433
16,16061,Eichsfeld,170,105,240,6431,0,234,119,909,96,52,52,137,52,135,331,1205
16,16062,Nordhausen,101,118,291,4703,3,184,90,706,23,41,41,134,23,104,312,838
16,16063,Wartburgkreis,171,188,341,7056,2,207,148,1044,77,96,96,230,59,163,380,1207
16,16064,Unstrut-Hainich-Kreis,148,153,298,5950,1,208,114,902,25,54,54,187,68,128,391,1085
16,16065,Kyffhäuserkreis,98,104,263,4108,1,172,82,661,9,50,50,129,35,84,273,707
16,16066,Schmalkalden-Meiningen,188,186,356,8437,1,339,111,1274,34,143,143,259,68,207,470,1476
16,16067,Gotha,191,163,353,7636,0,344,127,1173,34,90,90,233,97,181,452,1345
16,16068,Sömmerda,75,54,175,3749,0,181,74,573,16,28,28,104,53,75,191,764
16,16069,Hildburghausen,81,88,182,3900,1,161,62,494,12,70,70,117,30,80,212,705
16,16070,Ilm-Kreis,137,136,308,6574,2,306,104,976,23,111,111,209,76,172,359,1183
16,16071,Weimarer Land,100,96,189,4733,2,185,101,635,12,50,50,134,79,117,239,949
16,16072,Sonneberg,74,86,187,3663,0,145,60,504,15,34,34,114,10,83,229,601
16,16073,Saalfeld-Rudolstadt,131,192,364,6641,4,253,109,1001,33,120,120,272,135,137,407,1249
16,16074,Saale-Holzland-Kreis,103,104,219,5078,0,227,100,667,19,59,59,144,89,127,273,917
16,16075,Saale-Orla-Kreis,122,128,262,5600,0,182,104,860,23,69,69,196,95,133,286,1142
16,16076,Greiz,132,140,279,6686,0,277,113,1002,22,57,57,194,64,159,367,1209
16,16077,Altenburger Land,122,119,268,4857,1,171,90,807,23,33,33,123,59,102,314,912
