cluster,kreis,ags5,ags2,supermarkets_population,supermarkets_average_distance,public_transport_availability,average_distance_bus_stop,average_distance_train_station,average_distance_public_transport,Unnamed:_0,number_of_students,number_of_hospitals,number_of_hospital_beds,number_of_hospital_beds_adj,hospital_patiants,households_of_1_person,households_of_2_person,households_of_3_person,households_of_4_person,households_of_5_person_or_more,household_with_kids,household_with_kids_under_3,household_with_kids_over_3_under_6,household_with_kids_over_6_under_10,household_with_kids_over_10_under_15,household_with_kids_over_15_under_18,household_with_double_income_no_kids,car_density,no_of_paths_per_person_and_day,kilometers_per_person_and_day,_percentage_out_of_home,share_of_journeys_on_foot,share_of_journeys_on_bike,proportion_of_motorised_vehicle_passenger,share_of_motorised_vehicle_driver,share_of_public_transport_,public_transport_per_1000_inhabitants,activity_index,municipal_dept_per_capita,municipal_tax_per_capita,municipal_tax_per_capita.1,no_of_births_in_2018,2018_population,2019_population,2018_men_population,2018_women_population,2018_population_under_3_yrs,2018_population_3_to_6,2018_population_6_to_10,2018_population_10_to_15,2018_population_15_to_18,2018_population_18_to_20,2018_population_20_to_25,2018_population_25_to_30,2018_population_30_to_35,2018_population_35_to_40,2018_population_40_to_45,2018_population_45_to_50,2018_population_50_to_55,2018_population_55_to_60,2018_population_60_to_65,2018_population_65_to_75,2018_population_above_75,2019_population_under_5,2019_population_5_to_15,2019_population_15_to_35,2019_population_35_to_60,2019_population_60_to_80,2019_population_above_80,no_of_foreigners_2018,proportion_of_foreigners_in_2018,no_of_births_per_capita,Number_of_Commuters_place_of_work,Number_of_Commuters_on_place_of_residence),Commuter_Balance,Proportion_of_in_commuters,Share_of_out_commuters,Relative_Commuter_Balance,Commute_within_50km,Commute_within_150km,Commute_within_300km,number_accomodation_establishments,number_of_beds,number_of_guests,guests_staying_overnight,number_of_companies,number_of_companies_agriculture,number_of_companies_mining,number_of_companies_manufacturing,number_of_companies_energy,number_of_companies_water_and_sewage,number_of_companies_construction,number_of_companies_repair_motor_vehicles,number_of_companies_transport,number_of_companies_hospitality,number_of_companies_communication,number_of_companies_financial_and_insurance,number_of_companies_real_estat,number_of_companies_technical_services,number_of_companies_economic_services,number_of_companies_administration,number_of_companies_education,number_of_companies_health_and_social_services,number_of_companies_arts_entertainment,number_of_companies_rendering_other_services,number_of_companies_domestic_staff,number_of_companies_extraterritorial,number_of_companies_1_to_4_employees,number_of_companies_5_to_49_employees,number_of_companies_50_to_400_employees,number_of_companies_500_or_more_employees,no_of_hairdressers,no_of_restraunts,no_of_branches,no_of_commertial_units,no_of_shopping_malls,no_of_clubs,no_of_slaughterhouse,no_of_education_centers,no_of_shopping,no_of_free_time,no_of_tourism_points,no_of_food_and_drink,no_of_public_institution,no_of_traffic_centers,no_of_health_centers,no_of_business,total_area,Residential_area_percentage,industrial_/_commertial_area_percentage,dump_area_percentage,mining_area_percentage,"open_pit,_mine,_quarry_area_percentage",mixed_use_area_percentage,special_functional_character_land_percentage,"sport,_leisure,_recreation_area_percentage",cemetry_area_percentage,road_area_percentage,space_area_percentage,rail_traffic_area_percentage,air_traffic_area_percentage,shipping_area_percentage,agri_area_percentage,forrest_area_percentage,wood_area_percentage,health_area_percentage,moor_area_percentage,swamp_area_percentage,without_vegetation_area_percentage,flowing_water_percentage,harbor_basin_percentage,standing_water_percentage,sea_percentage,median_income,purchasing_power_per_household,purchasing_power_per_person,debtor_quota,household_in_income_calss_1,household_in_income_calss_2,household_in_income_calss_3,household_in_income_calss_4,household_in_income_calss_5,household_in_income_calss_6,Unnamed: 0_y,labor_market_region,growing_/_shrinking_circles,labor_market_type,grw_funding_framework,settlement_structure_type_of_labor_market_region,room_type_location,district_settlement_structure,type_of_settlement_structure,urban_/_rural,metropolitan_region,metropolitan_area,east_west,border_proximity,Unnamed: 0,support_area_status,eligible_area
2,Regionalverband Saarbrücken,10041,10,76,734,52,260,1804,255,318,30091,8,2583,7.8,92096,79379,56909,27541,10444,2226,38434,6367,6050,7795,9322,5894,17673,523,3.19971,38.3069,85.7,22.9,6.7,15.4,45.3,9.7,310.37187,70.028881431,4956.6,751.6,93.7,2985,329708,328714,162003,167705,8824,8065,10476,13176,8268,6573,19945,23001,21426,19772,17293,20007,26517,26978,23721,36463,39203,14363,26365,78612,108636,76734,24004,47944,14.54,0.0090534654906765,69455,36292,33163,67.5,57.5,23.5,7.3,5.2,2.4,56,3924,353760,617545,18232,82,8,846,61,77,1117,2977,326,929,516,838,540,2316,1116,155,502,1678,544,3066,0,0,8801,4344,325,38,385,622,819,20132,2,903,5,228,2548,99,68,546,164,341,1410,3258,1516.0,1.54,0.51,0.0,0.0,0.08,2.22,0.15,0.48,0.03,0.1,0.05,0.02,0.03,0.0,51.02,35.27,2.91,0.0,0.47,0.07,3.96,0.38,0.0,0.71,0.0,3431,37046,19917,14.4,31031,44117,53073,24122,13716,11119,318,118,3,4,6,1,1,2,1,1,99,99,1,1,318,D/N,1
0,Landkreis Merzig-Wadern,10042,10,42,1733,30,269,3777,263,319,10376,3,481,4.7,27800,10934,24961,8700,2964,804,11215,1589,1655,2289,2986,1779,6775,637,3.11863,38.2065,83.0,17.8,5.0,14.8,54.9,7.5,233.89725,65.930738526,2478.4,573.6,49.9,781,103366,103243,51108,52258,2438,2394,3338,4577,2986,2036,5001,5619,5833,6056,5740,7081,9150,9437,8242,11289,12149,4066,8668,21284,36843,24843,7539,11847,11.46,0.0075556759476036,12238,15307,3069,65.1,68.9,-12.2,7.2,3.8,1.5,64,5668,187756,630651,5317,124,11,277,23,20,489,815,108,323,75,235,101,540,301,77,123,458,192,855,0,0,2729,1135,73,7,132,177,289,5730,0,200,7,77,781,24,67,216,94,103,372,941,411.0,15.19,5.17,0.56,0.28,0.14,1.69,1.45,2.18,0.62,0.55,0.29,0.49,0.28,0.02,19.62,44.28,5.36,0.0,0.0,0.0,1.28,0.34,0.01,0.21,0.0,3028,41603,19630,9.2,6427,8929,14445,8090,6057,4767,319,116,3,4,8,1,2,2,1,1,99,99,1,1,319,N,0
0,Landkreis Neunkirchen,10043,10,76,799,38,229,1762,226,320,11097,4,700,5.3,38990,23178,28607,11960,3137,671,14657,2174,2230,2763,3409,2207,8610,607,3.03539,36.1874,82.0,18.1,3.5,14.9,55.6,8.0,242.8312,60.04743674,2544.8,589.5,51.9,1055,132206,131408,64915,67291,3291,3110,4059,5258,3337,2577,6584,7328,7624,7575,6876,8260,11398,12208,10492,15244,16985,5373,10373,27081,45304,32894,10383,12564,9.5,0.0079799706518614,18943,29334,10391,71.0,76.8,-24.8,6.4,3.8,1.8,22,1208,53934,235407,6546,67,2,351,15,32,549,1078,116,316,97,317,122,613,371,98,158,600,260,1176,0,0,3465,1318,101,10,205,211,361,7190,1,263,1,80,1009,25,20,210,60,142,479,1189,556.7,7.07,1.4,0.01,0.0,0.21,0.7,0.5,0.94,0.12,0.28,0.07,0.06,0.0,0.02,39.54,41.72,4.47,0.0,0.0,0.0,2.09,0.38,0.01,0.4,0.0,3190,40151,20516,12.0,9728,17246,21407,8955,5722,4455,320,118,2,4,4,1,2,2,1,1,99,99,1,2,320,C/D,1
0,Landkreis Saarlouis,10044,10,66,1083,37,284,3004,284,321,18103,5,985,5.0,53855,30174,44800,16170,5222,1126,21112,3085,3376,4244,5275,3373,13129,634,3.08357,39.2603,83.3,18.4,5.9,14.8,53.3,7.6,234.35132,67.229699176,2453.2,676.2,73.7,1549,195201,194319,95550,99651,4934,4834,6264,7940,5203,3667,9832,10943,11509,11072,10267,12252,16605,17639,15503,22444,24293,8285,15864,40511,66547,48092,15020,19741,10.11,0.0079354101669561,28014,29634,1620,78.3,78.9,-2.5,6.0,3.7,1.5,48,2915,101990,276095,10383,129,11,605,29,44,800,1764,182,559,175,546,225,1099,665,122,278,870,370,1607,0,0,5375,2169,156,19,309,363,564,11376,3,337,9,130,1675,43,69,431,89,211,722,1888,249.8,15.06,3.64,0.34,0.01,0.04,1.09,0.95,1.49,0.44,0.3,0.16,0.29,0.0,0.0,34.44,32.23,7.21,0.0,0.0,0.01,1.89,0.02,0.0,0.4,0.0,3268,42910,21491,9.8,12911,19670,29421,15635,10518,9538,321,118,2,4,4,1,2,2,1,1,99,99,1,1,321,C/D,1
0,Saarpfalz-Kreis,10045,10,58,1177,38,231,2305,230,322,13286,2,1498,10.5,37302,22874,34576,11214,3303,723,14052,2039,2154,2823,3574,2208,10014,628,3.10415,38.4396,84.7,19.4,5.8,15.4,52.0,7.4,229.7071,67.377316557,3746.1,821.7,84.4,1161,142631,142196,69385,73246,3430,3296,4481,5770,3687,2827,7424,7777,7816,7850,7361,8856,12370,12727,11321,16576,19062,5700,11383,29284,48135,35705,11989,12977,9.1,0.0081398854386493,35872,24579,11293,73.2,67.7,17.3,7.5,4.0,1.9,42,3302,110697,402459,7924,94,7,479,17,41,576,1391,142,397,145,413,224,890,425,116,214,645,286,1201,0,1,4017,1839,162,14,205,251,424,8514,1,288,10,105,1181,32,47,213,75,187,584,1456,459.4,12.33,4.2,0.31,0.1,0.37,1.05,0.79,1.37,0.24,0.34,0.12,0.2,0.06,0.08,41.04,28.69,6.08,0.0,0.0,0.09,1.49,0.56,0.02,0.48,0.0,3494,45437,23189,9.1,12302,12367,19028,11948,8807,8285,322,119,2,4,8,1,2,2,1,1,99,99,1,1,322,N,0
0,Landkreis St. Wendel,10046,10,49,1342,31,314,4452,302,323,8294,1,248,2.8,24073,12685,21363,7484,2104,217,8630,1033,1272,1741,2241,1289,6061,656,3.14643,38.9673,84.3,20.8,3.1,15.8,52.9,7.3,229.68939,68.905629537,3107.3,649.6,52.0,618,87397,87007,43198,44199,1883,1910,2613,3514,2280,1624,4073,4689,4805,4803,4584,5751,7647,8422,7273,10358,11168,3247,6728,17137,30517,22518,6860,4678,5.35,0.0070711809329839,10120,16647,6527,68.5,74.9,-25.3,9.0,3.0,1.2,35,7261,265728,996398,4504,85,3,289,9,18,328,751,58,245,80,224,109,434,267,71,116,384,198,713,0,0,2270,976,66,5,123,153,214,4721,0,170,8,49,652,17,36,143,54,98,325,788,418.3,10.04,3.37,0.03,0.0,0.15,1.1,0.78,1.35,0.23,0.29,0.12,0.13,0.02,0.0,38.37,35.92,5.59,0.0,0.0,0.03,2.11,0.15,0.0,0.24,0.0,3102,43745,21950,7.8,7005,8407,13291,6558,4611,3945,323,117,2,4,8,1,2,2,1,1,99,99,1,2,323,N,0
1,Berlin,11000,11,98,334,69,313,1130,284,324,360031,83,20390,5.6,793176,988735,559872,211995,153462,51944,436586,84231,77886,94946,108911,59983,207267,291,3.01054,36.0289,84.9,28.0,14.7,11.0,23.5,22.8,686.4031200000001,61.392007647,0.0,833.2,65.0,40203,3644826,3669491,1792801,1852025,118606,109384,132502,151676,84805,62621,200052,288455,326159,285694,230882,228955,271426,254720,199325,328669,370895,193234,326311,964109,1276145,698465,211227,675210,18.53,0.0110301561720641,333859,187147,146712,21.7,13.9,9.1,7.9,7.1,5.9,798,146742,13502552,32871634,206168,344,29,6833,481,528,12223,28999,3806,8179,11116,10914,13970,35408,11560,991,4779,15144,5360,30030,13,2,106944,50282,2947,398,2434,4706,7425,230503,123,10644,0,3577,22100,1739,1026,3762,783,2241,13837,30852,476.1,7.31,1.35,0.0,0.0,0.22,0.78,0.44,1.13,0.14,0.21,0.11,0.04,0.05,0.0,42.21,38.51,5.58,0.0,0.01,0.05,1.35,0.0,0.0,0.51,0.0,3126,38190,20811,12.5,202077,345090,484494,343253,330279,280762,324,205,5,9,4,1,1,1,1,1,2,99,2,0,324,C/D,1
0,Brandenburg an der Havel,12051,12,83,659,54,459,2199,439,325,6774,3,901,12.5,21116,20281,13931,2861,3226,445,7229,1221,1258,1576,1764,1000,4411,432,2.91421,36.9033,82.9,21.5,10.8,12.6,43.0,12.1,352.61941,59.43596515,2276.1,584.3,65.7,594,72124,72184,35617,36507,1822,1857,2350,2654,1467,1062,2854,3792,5060,4716,3736,3954,5421,6183,5330,8197,11669,3083,5788,14032,23818,18663,6800,3795,5.26,0.0082358160945039,11988,9860,2128,40.5,35.4,7.9,15.8,4.8,2.7,46,1854,97694,235723,3119,30,0,154,8,14,244,509,74,145,53,141,81,339,164,37,112,273,69,567,0,0,1549,666,62,4,83,80,254,3584,2,156,1,59,527,51,27,81,21,77,232,580,891.1,33.06,8.67,0.0,0.0,0.01,2.67,5.63,13.56,1.3,1.15,0.74,1.88,0.5,0.07,3.7,17.76,1.38,0.0,0.11,0.05,1.7,3.36,0.04,2.64,0.0,2765,33127,18714,15.9,12463,12536,8591,3341,2014,1788,325,206,4,10,2,2,3,3,3,2,2,99,2,0,325,C*,1
0,Cottbus,12052,12,85,640,63,338,2352,313,326,10094,2,1187,11.8,24625,28799,16931,4861,4124,921,10286,1776,1774,2284,2535,1448,5636,436,3.11081,35.1087,84.2,26.6,13.2,11.8,35.9,12.4,385.74044,61.30685922,2711.0,666.3,82.4,899,100219,99678,49201,51018,2611,2585,3346,3791,2148,1718,4903,6076,7283,6388,5010,5642,7352,8481,7444,11217,14224,4276,7994,21509,32465,24937,8497,8479,8.46,0.0089703549227192,22027,13174,8853,48.0,35.4,19.5,16.1,7.2,4.3,21,1790,146108,266552,5214,19,1,219,35,14,398,829,129,214,84,289,129,706,335,60,162,447,129,861,0,0,2846,1017,103,6,149,112,403,6021,6,236,1,106,799,49,31,132,25,106,369,970,229.7,5.41,5.66,0.13,0.0,0.0,2.52,1.02,3.08,0.17,0.22,0.21,0.27,0.37,0.03,25.73,30.8,3.03,0.1,0.01,2.37,3.26,2.48,0.01,13.13,0.0,2653,36534,20815,11.6,13994,16069,16142,5388,3206,2287,326,207,2,11,3,3,3,3,3,2,2,99,2,2,326,C**,1
0,Frankfurt (Oder),12053,12,88,611,62,283,2060,272,327,5888,2,946,16.3,16012,14592,10090,3040,2712,603,6636,1017,1020,1439,1765,966,3355,441,3.17818,35.3913,83.9,25.7,6.9,13.5,42.2,11.7,371.84706,62.913769612,2208.2,597.5,77.9,442,57873,57751,28023,29850,1390,1385,1877,2341,1313,1048,2935,3042,3719,3347,3111,3294,4174,5151,4821,6613,8312,2289,4679,11858,18825,15124,4976,6023,10.41,0.0076374129559552,14167,6854,7313,47.7,31.8,23.3,17.6,4.9,3.4,19,839,59536,138641,3236,26,0,121,12,13,234,545,113,101,63,130,96,307,168,50,75,256,90,747,0,0,1542,647,56,8,65,48,222,3727,6,419,0,58,414,59,17,39,16,61,213,561,165.6,9.68,6.12,0.0,0.0,0.13,4.82,1.55,4.31,0.4,0.38,0.41,0.61,0.0,0.0,28.89,22.79,2.94,0.76,0.0,0.01,15.0,0.46,0.0,0.72,0.0,2692,34553,18583,12.7,5862,12331,8812,1811,1252,1050,327,208,2,11,3,3,3,4,3,2,2,99,2,1,327,C**,1
0,Potsdam,12054,12,89,540,65,351,2039,324,328,22968,7,1579,8.9,38194,45392,26100,10159,8910,2679,22011,4049,3750,4930,5624,2911,9215,376,3.20076,38.1219,85.2,26.4,14.3,10.2,32.8,16.4,524.9246400000001,69.306821902,410.0,807.4,79.1,1970,178089,180334,86179,91910,6052,5611,7230,8141,4353,3142,9059,12612,15028,13952,11944,11282,12432,12336,9851,15463,19601,9749,17679,44577,62572,33986,11771,14936,8.39,0.0110618847879431,49621,35557,14064,58.8,49.1,19.3,8.4,6.1,4.3,58,6086,550173,1277928,9413,39,5,294,65,28,550,1098,157,386,459,470,385,1499,641,95,305,780,274,1597,0,2,4819,2113,190,19,160,202,431,10477,16,559,0,192,1068,96,83,226,48,118,577,1649,147.9,7.39,4.81,0.0,0.0,0.24,1.41,0.94,3.48,0.24,0.57,0.47,0.34,0.02,0.03,42.48,28.74,1.75,0.0,0.0,0.25,3.5,1.11,0.04,2.17,0.0,2979,38758,20445,8.8,5487,17692,29458,18024,12225,11050,328,206,5,10,2,2,1,1,3,1,2,99,2,0,328,C*,1
0,Barnim,12060,12,66,1262,42,405,2332,390,329,17722,5,1175,6.4,47083,26576,43354,12087,6553,1325,19579,2986,3186,4482,5053,2929,12222,539,3.03761,42.8732,84.2,21.5,11.2,13.5,42.6,11.3,343.24993,73.10359693699999,232.8,595.7,35.7,1435,182760,185244,90615,92145,4700,4964,7029,8228,4506,2937,5965,7001,11060,11978,10954,12019,15954,17711,14570,20346,22838,8123,17505,31663,68626,46209,13118,7588,4.15,0.0078518275333771,17354,41346,23992,65.2,76.3,-46.7,14.1,5.2,3.9,91,6175,261933,905925,8950,173,5,407,54,38,970,1313,243,372,145,347,277,863,559,136,227,600,228,1703,0,0,4645,1874,102,9,161,183,466,10055,4,736,4,142,1244,132,83,185,48,221,509,1837,188.3,9.64,3.4,0.03,0.0,0.18,4.95,3.12,6.02,0.35,0.47,0.3,0.4,0.0,0.01,28.65,26.43,2.32,0.93,0.0,1.65,1.34,1.6,0.0,8.22,0.0,2402,42694,21008,9.5,16906,20644,18200,11396,10689,12075,329,209,4,12,3,2,2,3,3,2,2,99,2,1,329,C**,1
0,Dahme-Spreewald,12061,12,59,1658,42,470,2391,458,330,16284,4,1009,6.0,44949,22948,40776,11526,5708,1279,17251,2796,2924,3761,4310,2534,11310,554,3.06878,43.3168,82.7,18.7,11.3,13.6,45.1,11.3,346.77214,73.288590867,459.7,1511.4,51.5,1363,169067,170791,83943,85124,4568,4635,6174,7251,4182,2763,5599,6770,10174,11242,9940,11473,15010,15732,12891,18021,22642,7792,15413,29550,63166,41403,13467,7813,4.62,0.0080618926224514,31140,38291,7151,79.0,80.8,-11.4,15.5,6.1,4.7,169,10128,840874,1813163,9603,214,6,450,56,43,1036,1459,289,478,155,500,483,1128,555,150,247,596,194,1267,1,0,5184,2053,168,10,173,202,521,10620,2,320,5,154,1214,177,165,216,57,200,445,1888,1479.6,4.95,1.74,0.01,0.0,0.14,0.95,0.33,1.15,0.11,0.15,0.05,0.06,0.3,0.01,33.85,48.55,0.81,0.37,0.0,0.78,1.7,0.34,0.0,3.62,0.0,2518,43842,21400,9.4,12859,15099,21869,12592,9190,10891,330,210,5,11,2,3,2,4,3,2,2,99,2,0,330,C*,1
0,Elbe-Elster,12062,12,56,1792,37,468,2878,453,331,8993,1,465,4.5,30657,16247,26235,6041,3331,464,9290,1398,1439,1964,2510,1433,6789,577,2.94616,42.4679,81.8,17.7,14.8,13.5,47.3,6.8,200.33888,68.230595147,537.2,482.6,42.2,766,102638,101827,50832,51806,2354,2314,3132,4183,2426,1435,2684,3646,5660,5803,5286,6857,8817,10145,9194,12902,15800,3927,8011,15411,36060,29105,9313,3046,2.97,0.0074631228200081,6708,13343,6635,64.9,71.0,-20.1,18.2,5.4,3.7,60,1830,58645,238070,6192,198,9,411,26,20,688,1093,144,301,44,257,84,544,335,123,177,450,167,966,0,0,3505,1199,91,2,134,156,357,6788,2,251,14,115,1091,23,53,147,38,150,354,1240,2274.5,3.01,1.23,0.0,0.0,0.1,1.51,0.14,0.85,0.06,0.15,0.06,0.06,0.67,0.02,37.34,47.62,0.89,0.53,0.01,0.68,1.54,0.2,0.0,3.31,0.0,2215,38402,19601,9.0,11700,9028,22646,4999,2703,1302,331,211,1,11,2,3,4,4,3,2,2,99,2,0,331,C*,1
0,Havelland,12063,12,64,1506,38,481,2455,461,332,16813,1,482,3.0,41651,21148,36452,12850,5995,985,19400,2777,3108,4278,4961,3075,10753,536,2.95017,39.4943,84.3,17.8,11.6,14.5,44.2,12.0,354.0204,65.481373255,506.4,608.5,35.9,1185,161909,162996,80121,81788,4057,4508,6203,7495,4551,3145,5892,6375,9309,10092,9623,11283,15694,15377,12044,16866,19395,7081,15601,28998,61772,38564,10980,7143,4.41,0.0073189260634059,14905,35879,20974,67.1,77.6,-47.0,13.5,5.4,3.7,68,2198,121081,259953,7469,204,4,372,24,31,815,1175,196,309,131,328,228,700,493,120,215,537,192,1134,0,0,3939,1566,91,7,154,133,421,8372,3,322,5,143,1018,135,73,155,60,150,375,1491,1899.6,1.49,1.36,0.01,0.0,0.22,2.78,0.2,0.46,0.06,0.03,0.01,0.13,0.36,0.0,51.15,37.67,0.93,0.6,0.0,0.06,1.27,0.14,0.0,1.05,0.0,2227,43354,20781,10.3,15184,13763,17721,10186,9073,11650,332,206,5,11,2,2,2,4,3,2,2,99,2,0,332,C*,1
0,Märkisch-Oderland,12064,12,61,1611,54,569,2667,518,333,18066,2,666,3.4,51495,26456,48266,13087,6190,1396,19314,2891,3216,4370,4928,2918,13312,554,2.98924,43.4482,83.2,20.4,8.1,12.9,46.0,12.5,373.655,72.038496673,368.0,597.5,33.5,1439,194328,195751,96483,97845,4844,5255,7311,8522,4841,2975,5446,6654,11266,12910,11587,12716,17375,20000,16243,21386,24997,8400,18176,30929,73913,49139,15194,6123,3.15,0.007405005969289,19212,44890,25678,74.4,82.9,-50.0,14.4,5.1,3.8,101,4696,200149,767318,10074,273,4,483,46,59,1142,1450,268,334,161,431,258,967,613,155,282,657,265,1916,2,0,5404,2143,114,8,196,147,481,11284,2,783,6,167,1382,152,92,180,66,228,577,2142,1727.3,3.47,1.49,0.02,0.0,0.06,1.33,0.18,0.73,0.07,0.11,0.04,0.15,0.06,0.01,57.69,28.58,0.97,0.76,0.0,0.82,1.55,0.65,0.0,1.26,0.0,2408,42707,20999,9.8,16362,20980,23747,12603,10626,11188,333,208,3,11,3,3,2,4,3,2,2,99,2,1,333,C**,1
